label,case,variant,group,mode,seed,agent_count,epochs,final_resource_mean,min_resource_mean,collapse_floor,collapse_epochs,mean_welfare,mean_harvest_rate,final_harvest_rate,shock_count,recovery_epochs_after_shock,recovered_after_shock,unit_policy_lifecycle_used,source_changes_required
adapter_only_stochastic_commons_quick,steady_regen_commons,greedy_harvest_baseline,baseline,greedy_harvest_baseline,1,24,18,0.04,0.04,0.4,17,-0.13558605691677292,1.0,1.0,0,,,True,False
adapter_only_stochastic_commons_quick,steady_regen_commons,greedy_harvest_baseline,baseline,greedy_harvest_baseline,2,24,18,0.04,0.04,0.4,17,-0.1362425523865551,1.0,1.0,0,,,True,False
adapter_only_stochastic_commons_quick,steady_regen_commons,greedy_harvest_baseline,baseline,greedy_harvest_baseline,3,24,18,0.04,0.04,0.4,17,-0.1365426961664331,1.0,1.0,0,,,True,False
adapter_only_stochastic_commons_quick,steady_regen_commons,global_pressure_negative_control,negative_control,global_pressure_negative_control,1,24,18,0.5056420480321612,0.3241951187446526,0.4,6,0.07634591489836046,0.3888888888888889,0.0,0,,,True,False
adapter_only_stochastic_commons_quick,steady_regen_commons,global_pressure_negative_control,negative_control,global_pressure_negative_control,2,24,18,0.5008265503742811,0.3161888669514608,0.4,6,0.0759246750497189,0.3888888888888889,0.0,0,,,True,False
adapter_only_stochastic_commons_quick,steady_regen_commons,global_pressure_negative_control,negative_control,global_pressure_negative_control,3,24,18,0.5045043314024783,0.3647491428236902,0.4,6,0.0755639400723675,0.37731481481481477,0.0,0,,,True,False
adapter_only_stochastic_commons_quick,steady_regen_commons,adapter_local_resource_main,main,adapter_local_resource_main,1,24,18,0.6608743514992419,0.45825682290843267,0.4,0,0.06553443916541275,0.29398148148148145,0.25,0,,,True,False
adapter_only_stochastic_commons_quick,steady_regen_commons,adapter_local_resource_main,main,adapter_local_resource_main,2,24,18,0.6112008549001765,0.4650281938246963,0.4,0,0.0678328147471486,0.3009259259259259,0.4166666666666667,0,,,True,False
adapter_only_stochastic_commons_quick,steady_regen_commons,adapter_local_resource_main,main,adapter_local_resource_main,3,24,18,0.5900027241912364,0.4774811316058562,0.4,0,0.0689092066028411,0.3055555555555555,0.4583333333333333,0,,,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,greedy_harvest_baseline,baseline,greedy_harvest_baseline,1,24,20,0.04,0.02666666666666667,0.4,19,-0.14236407445123822,1.0,1.0,1,,,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,greedy_harvest_baseline,baseline,greedy_harvest_baseline,2,24,20,0.04,0.02666666666666667,0.4,19,-0.14295390752469056,1.0,1.0,1,,,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,greedy_harvest_baseline,baseline,greedy_harvest_baseline,3,24,20,0.04,0.02666666666666667,0.4,19,-0.14334841422062336,1.0,1.0,1,,,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,global_pressure_negative_control,negative_control,global_pressure_negative_control,1,24,20,0.6589057030335911,0.32526381859702197,0.4,2,0.07116907550072686,0.35,0.0,1,1,True,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,global_pressure_negative_control,negative_control,global_pressure_negative_control,2,24,20,0.655650203165211,0.316487024102851,0.4,3,0.07118421468447864,0.35,0.0,1,1,True,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,global_pressure_negative_control,negative_control,global_pressure_negative_control,3,24,20,0.5447898554236121,0.3790209810469354,0.4,5,0.06981417384467221,0.3604166666666667,0.0,1,2,True,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,adapter_local_resource_main,main,adapter_local_resource_main,1,24,20,0.631912059952751,0.4386693220861358,0.4,0,0.06925853470637736,0.31666666666666665,0.20833333333333334,1,1,True,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,adapter_local_resource_main,main,adapter_local_resource_main,2,24,20,0.6527034581498289,0.4460479441455232,0.4,0,0.06827924144451007,0.3083333333333333,0.20833333333333334,1,1,True,True,False
adapter_only_stochastic_commons_quick,localized_resource_shock,adapter_local_resource_main,main,adapter_local_resource_main,3,24,20,0.62482400213804,0.4457753306154523,0.4,0,0.06815057568799296,0.3104166666666667,0.3333333333333333,1,2,True,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,greedy_harvest_baseline,baseline,greedy_harvest_baseline,1,24,20,0.04,0.028333333333333332,0.4,19,-0.14069915755160065,1.0,1.0,1,,,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,greedy_harvest_baseline,baseline,greedy_harvest_baseline,2,24,20,0.04,0.028333333333333335,0.4,19,-0.14149365589504154,1.0,1.0,1,,,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,greedy_harvest_baseline,baseline,greedy_harvest_baseline,3,24,20,0.04,0.028333333333333335,0.4,19,-0.1418683244393107,1.0,1.0,1,,,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,global_pressure_negative_control,negative_control,global_pressure_negative_control,1,24,20,0.3700027146738994,0.29447690520910386,0.4,7,0.07669095356991844,0.4,1.0,1,2,True,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,global_pressure_negative_control,negative_control,global_pressure_negative_control,2,24,20,0.3633234728932693,0.28190411502054813,0.4,7,0.07569054125660803,0.3958333333333333,1.0,1,5,True,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,global_pressure_negative_control,negative_control,global_pressure_negative_control,3,24,20,0.3605992738429919,0.3030879888126685,0.4,7,0.07480223274016456,0.3895833333333333,1.0,1,2,True,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,adapter_local_resource_main,main,adapter_local_resource_main,1,24,20,0.6496210744684413,0.485335321828858,0.4,0,0.06634796036827936,0.29166666666666663,0.25,1,1,True,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,adapter_local_resource_main,main,adapter_local_resource_main,2,24,20,0.670720900439116,0.5181439208522779,0.4,0,0.06630752685260835,0.2854166666666667,0.041666666666666664,1,1,True,True,False
adapter_only_stochastic_commons_quick,heterogeneous_need_commons,adapter_local_resource_main,main,adapter_local_resource_main,3,24,20,0.66723790480569,0.4985093952119395,0.4,0,0.06616107033283547,0.2854166666666666,0.125,1,1,True,True,False
