label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
nabm_effect_matrix_quick,toy1_social_accuracy,toy1,no_social,baseline,baseline,nabm,1,domain_final_mean_global_accuracy,0.7192360031604766,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy1_social_accuracy_no_social_seed01.yaml,experiments/runs/20260512_233457_nabm_effect_matrix_quick_toy1_social_accuracy_no_social_seed01,full,"Local classifier training plus social output, latent, and parameter mixing are the primary experiment path.","output_distribution, latent_state, parameters",none
nabm_effect_matrix_quick,toy1_social_accuracy,toy1,no_social,baseline,baseline,nabm,2,domain_final_mean_global_accuracy,0.5009999871253967,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy1_social_accuracy_no_social_seed02.yaml,experiments/runs/20260512_233458_nabm_effect_matrix_quick_toy1_social_accuracy_no_social_seed02,full,"Local classifier training plus social output, latent, and parameter mixing are the primary experiment path.","output_distribution, latent_state, parameters",none
nabm_effect_matrix_quick,toy1_social_accuracy,toy1,no_social,baseline,baseline,nabm,3,domain_final_mean_global_accuracy,0.8117839968204499,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy1_social_accuracy_no_social_seed03.yaml,experiments/runs/20260512_233459_nabm_effect_matrix_quick_toy1_social_accuracy_no_social_seed03,full,"Local classifier training plus social output, latent, and parameter mixing are the primary experiment path.","output_distribution, latent_state, parameters",none
nabm_effect_matrix_quick,toy1_social_accuracy,toy1,output_average,nabm,baseline,nabm,1,domain_final_mean_global_accuracy,0.8051679992675781,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy1_social_accuracy_output_average_seed01.yaml,experiments/runs/20260512_233500_nabm_effect_matrix_quick_toy1_social_accuracy_output_average_seed01,full,"Local classifier training plus social output, latent, and parameter mixing are the primary experiment path.","output_distribution, latent_state, parameters",none
nabm_effect_matrix_quick,toy1_social_accuracy,toy1,output_average,nabm,baseline,nabm,2,domain_final_mean_global_accuracy,0.5385199987888336,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy1_social_accuracy_output_average_seed02.yaml,experiments/runs/20260512_233501_nabm_effect_matrix_quick_toy1_social_accuracy_output_average_seed02,full,"Local classifier training plus social output, latent, and parameter mixing are the primary experiment path.","output_distribution, latent_state, parameters",none
nabm_effect_matrix_quick,toy1_social_accuracy,toy1,output_average,nabm,baseline,nabm,3,domain_final_mean_global_accuracy,0.8445240020751953,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy1_social_accuracy_output_average_seed03.yaml,experiments/runs/20260512_233503_nabm_effect_matrix_quick_toy1_social_accuracy_output_average_seed03,full,"Local classifier training plus social output, latent, and parameter mixing are the primary experiment path.","output_distribution, latent_state, parameters",none
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,rd_well_mixed,baseline,baseline,nabm,1,final_mean_payoff,1.661516878254949,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_rd_well_mixed_seed01.yaml,experiments/runs/20260512_233505_235350_nabm_effect_matrix_quick_toy2_reference_payoff_rd_well_mixed_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,rd_well_mixed,baseline,baseline,nabm,2,final_mean_payoff,1.661516878254949,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_rd_well_mixed_seed02.yaml,experiments/runs/20260512_233505_246448_nabm_effect_matrix_quick_toy2_reference_payoff_rd_well_mixed_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,rd_well_mixed,baseline,baseline,nabm,3,final_mean_payoff,1.661516878254949,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_rd_well_mixed_seed03.yaml,experiments/runs/20260512_233505_257263_nabm_effect_matrix_quick_toy2_reference_payoff_rd_well_mixed_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,fermi_imitation,baseline,baseline,nabm,1,final_mean_payoff,1.78,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_fermi_imitation_seed01.yaml,experiments/runs/20260512_233505_271903_nabm_effect_matrix_quick_toy2_reference_payoff_fermi_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,fermi_imitation,baseline,baseline,nabm,2,final_mean_payoff,1.435,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_fermi_imitation_seed02.yaml,experiments/runs/20260512_233505_324964_nabm_effect_matrix_quick_toy2_reference_payoff_fermi_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,fermi_imitation,baseline,baseline,nabm,3,final_mean_payoff,1.67,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_fermi_imitation_seed03.yaml,experiments/runs/20260512_233505_373122_nabm_effect_matrix_quick_toy2_reference_payoff_fermi_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,reputation_imitation,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_reputation_imitation_seed01.yaml,experiments/runs/20260512_233505_420599_nabm_effect_matrix_quick_toy2_reference_payoff_reputation_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,reputation_imitation,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_reputation_imitation_seed02.yaml,experiments/runs/20260512_233505_474640_nabm_effect_matrix_quick_toy2_reference_payoff_reputation_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,reputation_imitation,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_reputation_imitation_seed03.yaml,experiments/runs/20260512_233505_530371_nabm_effect_matrix_quick_toy2_reference_payoff_reputation_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,neural_output_average,nabm,baseline,nabm,1,final_mean_payoff,1.795,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_neural_output_average_seed01.yaml,experiments/runs/20260512_233505_584252_nabm_effect_matrix_quick_toy2_reference_payoff_neural_output_average_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,neural_output_average,nabm,baseline,nabm,2,final_mean_payoff,2.185,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_neural_output_average_seed02.yaml,experiments/runs/20260512_233506_208902_nabm_effect_matrix_quick_toy2_reference_payoff_neural_output_average_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
nabm_effect_matrix_quick,toy2_reference_payoff,toy2,neural_output_average,nabm,baseline,nabm,3,final_mean_payoff,2.07,maximize,experiments/configs/generated/evidence_matrix/nabm_effect_matrix_quick/toy2_reference_payoff_neural_output_average_seed03.yaml,experiments/runs/20260512_233507_151063_nabm_effect_matrix_quick_toy2_reference_payoff_neural_output_average_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
