label,case,toy,primary_metric,direction,baseline_variant,nabm_variant,baseline_n,baseline_mean,baseline_std,baseline_ci95,nabm_n,nabm_mean,nabm_std,nabm_ci95,effect_n,effect_mean,effect_std,effect_ci95,positive_effect_favors,ceiling_metric,ceiling_value,ceiling_tolerance,baseline_final_ceiling_rate,nabm_final_ceiling_rate,baseline_ever_ceiling_rate,nabm_ever_ceiling_rate,baseline_time_to_ceiling_mean,nabm_time_to_ceiling_mean,time_to_ceiling_effect_mean,ceiling_outcome,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,linear_welfare_heavy,basin_credit_w1p0_h1_prototype,3,3.0,0.0,0.0,3,2.5566666666666666,0.04645786621588777,0.05257202466880812,3,-0.44333333333333336,0.04645786621588777,0.05257202466880812,nabm,mean_payoff,3.0,0.001,1.0,0.0,1.0,0.0,23.666666666666668,,,baseline_more_final_ceiling_hits,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,linear_welfare_heavy,mixed_objective_basin_adaptive_score_p3_min2_h1,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,23.666666666666668,9.333333333333334,14.333333333333334,nabm_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,linear_welfare_heavy,mixed_objective_basin_replay_all_p1_h1,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,23.666666666666668,22.666666666666668,1.0,nabm_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,linear_welfare_heavy,mixed_objective_basin_replay_all_p2_h1,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,23.666666666666668,10.333333333333334,13.333333333333334,nabm_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,linear_welfare_heavy,mixed_objective_basin_replay_all_p3_h1,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,23.666666666666668,9.333333333333334,14.333333333333334,nabm_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,linear_welfare_heavy,mixed_objective_basin_replay_revised_p2_h1,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,23.666666666666668,10.333333333333334,13.333333333333334,nabm_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,linear_welfare_heavy,mixed_objective_basin_replay_revised_p3_h1,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,23.666666666666668,9.333333333333334,14.333333333333334,nabm_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,linear_welfare_heavy,mixed_objective_basin_w0p5_0p5_h1,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,23.666666666666668,22.666666666666668,1.0,nabm_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,reputation_imitation,basin_credit_w1p0_h1_prototype,3,3.0,0.0,0.0,3,2.5566666666666666,0.04645786621588777,0.05257202466880812,3,-0.44333333333333336,0.04645786621588777,0.05257202466880812,nabm,mean_payoff,3.0,0.001,1.0,0.0,1.0,0.0,2.6666666666666665,,,baseline_more_final_ceiling_hits,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_credit_adaptive_replay_quick,toy2_basin_credit,toy2,final_mean_payoff,maximize,reputation_imitation,mixed_objective_basin_adaptive_score_p3_min2_h1,3,3.0,0.0,0.0,3,3.0,0.0,0.0,3,0.0,0.0,0.0,nabm,mean_payoff,3.0,0.001,1.0,1.0,1.0,1.0,2.6666666666666665,9.333333333333334,-6.666666666666668,baseline_faster_to_ceiling,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
