label,case,toy,variant,group,seed,time_to_ceiling,final_within_ceiling,ever_reached_ceiling,window_epoch_count,first_positive_training_advantage_epoch,first_local_policy_increase_epoch,first_social_nonnegative_epoch,first_action_rate_increase_epoch,early_effective_advantage_mean,early_effective_advantage_positive_rate,early_basin_action1_advantage_mean,early_basin_action1_advantage_positive_rate,early_training_effective_advantage_mean,early_training_effective_advantage_positive_rate,early_training_effective_advantage_abs_mean,early_policy_pre_to_local_delta_mean,early_policy_local_to_social_delta_mean,early_policy_social_to_action_gap_mean,early_action_rate_delta_mean,early_realized_revision_rate_mean,early_mean_local_loss,early_mean_social_loss,early_action_rate_mean,early_post_social_probability_mean,early_post_local_gt_0p5_rate_mean,early_post_local_gt_0p7_rate_mean,early_post_local_gt_0p9_rate_mean,early_post_local_dwell_0p4_0p6_rate_mean,early_post_social_gt_0p5_rate_mean,early_post_social_gt_0p7_rate_mean,early_post_social_gt_0p9_rate_mean,early_post_social_dwell_0p4_0p6_rate_mean,early_post_social_p10_mean,early_post_social_p50_mean,early_post_social_p90_mean,early_threshold_crossings_0p5_count_sum,early_threshold_crossings_0p7_count_sum,early_threshold_crossings_0p9_count_sum,early_threshold_crossings_0p5_rate_mean,early_threshold_crossings_0p7_rate_mean,early_threshold_crossings_0p9_rate_mean,early_action_flip_rate_mean,bottleneck_flags
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,1,3,True,True,2,,1,1,1,,,,,,,,0.26,0.0,0.010000000000000009,0.25,1.0,0.0,0.025,0.94,0.95,0.95,0.95,0.95,0.0,0.95,0.95,0.8899999999999999,0.0,0.9375,1.0,1.0,63.0,63.0,61.0,0.315,0.315,0.305,0.3,weak_or_missing_credit_signal;threshold_crossing_activity
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,2,3,True,True,2,,1,1,1,,,,,,,,0.24,0.0,0.0050000000000000044,0.235,1.0,0.0,0.015,0.965,0.97,0.97,0.97,0.97,0.0,0.97,0.97,0.95,0.0,0.96875,1.0,1.0,55.0,55.0,49.0,0.275,0.275,0.245,0.265,weak_or_missing_credit_signal;threshold_crossing_activity
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,reputation_imitation,baseline,3,2,True,True,1,,1,1,1,,,,,,,,0.48,0.0,-0.010000000000000009,0.49,1.0,0.0,0.025,0.96,0.95,0.95,0.95,0.95,0.0,0.95,0.95,0.92,0.0,0.9375,1.0,1.0,52.0,52.0,49.0,0.52,0.52,0.49,0.53,weak_or_missing_credit_signal;threshold_crossing_activity
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,1,23,True,True,10,1,1,1,1,0.6456000000000001,1.0,,,,,,0.018939729601144796,0.01575275927782057,0.03337688788771628,0.034999999999999996,1.0,0.27609055941179395,0.0013602405004203319,0.674,0.7073768878877162,0.9199999999999999,0.484,0.049,0.267,0.943,0.529,0.067,0.23700000000000002,0.6109981587529182,0.7122327715158463,0.8072449958324432,52.0,101.0,32.0,0.052000000000000005,0.101,0.032,0.393,threshold_crossing_activity;slow_after_positive_signal
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,2,26,True,True,10,1,1,1,1,0.6426000000000001,1.0,,,,,,0.018891536980867384,0.015578274041414274,0.03601340171694756,0.031999999999999994,1.0,0.2666602522023022,0.0014311685115098954,0.679,0.7150134017169476,0.922,0.5,0.064,0.25,0.942,0.5429999999999999,0.08,0.21800000000000003,0.5998396638035774,0.7218450993299484,0.8182732981443405,44.0,111.0,44.0,0.044,0.11100000000000002,0.044,0.41600000000000004,threshold_crossing_activity;slow_after_positive_signal
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,linear_welfare_heavy,baseline,3,22,True,True,10,1,1,1,1,0.6372000000000001,1.0,,,,,,0.019547132968902557,0.016298723638057733,0.016045887798070924,0.037,1.0,0.2761597590763122,0.0009470002055168151,0.688,0.704045887798071,0.923,0.45599999999999996,0.046,0.27599999999999997,0.9470000000000001,0.509,0.05800000000000001,0.236,0.6137664654850961,0.7062107771635056,0.7943730086088181,57.0,107.0,34.0,0.056999999999999995,0.10700000000000001,0.033999999999999996,0.391,threshold_crossing_activity;slow_after_positive_signal
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,1,20,True,True,10,1,1,1,1,0.5868000000000001,1.0,,,,,,0.019885690987110148,0.016467409968376156,-0.057633388042449954,0.034999999999999996,1.0,0.23470348262414337,0.001294525422155857,0.772,0.71436661195755,0.9259999999999999,0.499,0.05700000000000001,0.254,0.952,0.549,0.078,0.223,0.6183434864878654,0.720359155535698,0.8108935648202896,52.0,104.0,41.0,0.052000000000000005,0.10400000000000001,0.040999999999999995,0.34900000000000003,threshold_crossing_activity;slow_after_positive_signal
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,2,26,True,True,10,1,1,1,1,0.5820000000000001,1.0,,,,,,0.02016381427645685,0.01652200365066526,-0.05546674633026123,0.031999999999999994,1.0,0.2233080460410565,0.0013140506595373154,0.78,0.7245332536697388,0.923,0.5349999999999999,0.075,0.22599999999999998,0.943,0.5700000000000001,0.091,0.196,0.6073328739404678,0.7344230830669403,0.8242127299308777,44.0,108.0,45.0,0.044,0.10800000000000001,0.045,0.33799999999999997,threshold_crossing_activity;slow_after_positive_signal
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,decision_bootstrap_w1p0_e5_linear_welfare,diagnostic,3,22,True,True,10,1,1,1,1,0.5772000000000002,1.0,,,,,,0.02058688580989837,0.01707710641622544,-0.07491451492905614,0.039,1.0,0.23172386407107112,0.0009265909790992738,0.788,0.7130854850709438,0.925,0.49000000000000005,0.056999999999999995,0.252,0.9480000000000001,0.537,0.076,0.21600000000000003,0.6191415503621102,0.7160543501377106,0.8006569838523865,55.0,110.0,46.0,0.05500000000000001,0.11000000000000001,0.046,0.34500000000000003,threshold_crossing_activity;slow_after_positive_signal
toy24_basin_credit_objective_blend_quick,toy2_basin_credit,toy2,basin_credit_w1p0_h1_prototype,nabm,1,,False,False,10,1,2,1,1,0.7362,1.0,0.0026559620071327566,0.7,0.0026559620071327566,0.7,0.005658111242487257,0.0018372104763984653,0.002412565678358081,0.0067281174361705776,0.0010000000000000009,1.0,0.0,0.00022823500633239747,0.523,0.5297281174361705,0.779,0.001,0.0,0.958,0.829,0.002,0.0,0.9720000000000001,0.4857633385062218,0.5309729993343353,0.5710742020606995,160.0,4.0,0.0,0.16,0.004,0.0,0.503,no_final_ceiling_hit;ambivalence_dwell;threshold_crossing_activity;slow_or_partial_commitment
