label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,linear_welfare_heavy,baseline,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_linear_welfare_heavy_seed01.yaml,experiments/runs/20260518_133540_355607_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_linear_welfare_heavy_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,linear_welfare_heavy,baseline,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,26,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_linear_welfare_heavy_seed02.yaml,experiments/runs/20260518_133546_227135_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_linear_welfare_heavy_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,linear_welfare_heavy,baseline,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,22,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_linear_welfare_heavy_seed03.yaml,experiments/runs/20260518_133551_552960_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_linear_welfare_heavy_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01.yaml,experiments/runs/20260518_133556_759472_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02.yaml,experiments/runs/20260518_133610_966053_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03.yaml,experiments/runs/20260518_133625_188497_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_mixed_objective_basin_escalate_credit_p3_min2_h1_prototype_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,learned_pairwise_direction_pressure_scorer_replay,diagnostic,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_learned_pairwise_direction_pressure_scorer_replay_seed01.yaml,experiments/runs/20260518_133639_388422_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_learned_pairwise_direction_pressure_scorer_replay_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,learned_pairwise_direction_pressure_scorer_replay,diagnostic,baseline,nabm,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,10,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_learned_pairwise_direction_pressure_scorer_replay_seed02.yaml,experiments/runs/20260518_133654_603776_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_learned_pairwise_direction_pressure_scorer_replay_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,learned_pairwise_direction_pressure_scorer_replay,diagnostic,baseline,nabm,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_learned_pairwise_direction_pressure_scorer_replay_seed03.yaml,experiments/runs/20260518_133709_543941_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_learned_pairwise_direction_pressure_scorer_replay_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_basin_future_outcome_direction_pressure_quick,toy2_basin_future_outcome_direction_pressure,toy2,learned_future_outcome_direction_pressure_scorer_replay,nabm,baseline,nabm,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,9,experiments/configs/generated/evidence_matrix/toy24_basin_future_outcome_direction_pressure_quick/toy2_basin_future_outcome_direction_pressure_learned_future_outcome_direction_pressure_scorer_replay_seed01.yaml,experiments/runs/20260518_133724_568822_toy24_basin_future_outcome_direction_pressure_quick_toy2_basin_future_outcome_direction_pressure_learned_future_outcome_direction_pressure_scorer_replay_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
