toy,variant,seed,epoch,mean_payoff,action_rate,mean_policy_action_probability,mean_reputation,run_dir
toy2,reputation_imitation,1,0,2.185,0.47,0.4699999988079071,0.47,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_154839_toy2_reputation_imitation_epoch50_diag_seed01
toy2,reputation_imitation,1,1,2.895,0.91,0.9200000166893005,0.514,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_154839_toy2_reputation_imitation_epoch50_diag_seed01
toy2,reputation_imitation,1,2,2.965,0.97,0.9800000190734863,0.5595999999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_154839_toy2_reputation_imitation_epoch50_diag_seed01
toy2,reputation_imitation,1,5,3.0,1.0,1.0,0.6789483999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_154839_toy2_reputation_imitation_epoch50_diag_seed01
toy2,reputation_imitation,1,10,3.0,1.0,1.0,0.8104222407159998,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_154839_toy2_reputation_imitation_epoch50_diag_seed01
toy2,reputation_imitation,1,20,3.0,1.0,1.0,0.9338983226152016,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_154839_toy2_reputation_imitation_epoch50_diag_seed01
toy2,reputation_imitation,1,50,3.0,1.0,1.0,0.9971978733317236,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_154839_toy2_reputation_imitation_epoch50_diag_seed01
toy2,reputation_imitation,2,0,2.28,0.51,0.5099999904632568,0.51,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_292005_toy2_reputation_imitation_epoch50_diag_seed02
toy2,reputation_imitation,2,1,2.94,0.95,0.9599999785423279,0.5539999999999999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_292005_toy2_reputation_imitation_epoch50_diag_seed02
toy2,reputation_imitation,2,2,2.98,0.98,0.9800000190734863,0.5966,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_292005_toy2_reputation_imitation_epoch50_diag_seed02
toy2,reputation_imitation,2,5,3.0,1.0,1.0,0.7059214,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_292005_toy2_reputation_imitation_epoch50_diag_seed02
toy2,reputation_imitation,2,10,3.0,1.0,1.0,0.8263495274859999,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_292005_toy2_reputation_imitation_epoch50_diag_seed02
toy2,reputation_imitation,2,20,3.0,1.0,1.0,0.9394518241211904,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_292005_toy2_reputation_imitation_epoch50_diag_seed02
toy2,reputation_imitation,2,50,3.0,1.0,1.0,0.9974332926930457,/tmp/nabm_toy24_epoch_diag/runs/20260512_235148_292005_toy2_reputation_imitation_epoch50_diag_seed02
