label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,ever_ceiling_final_miss,late_flip_count_after_first_ceiling,late_flip_rate_after_first_ceiling,terminal_window_size,terminal_window_ceiling_rate,terminal_window_mean_ceiling_metric,precommitment_first_ready_epoch,precommitment_all_ready_epoch,precommitment_first_forced_epoch,precommitment_ready_to_forced_delay_mean,precommitment_premature_exit_count,precommitment_high_policy_rate,precommitment_direction_score_mean,precommitment_direction_score_positive_rate,precommitment_direction_ok_rate,precommitment_ready_largest_component_fraction,precommitment_peer_evidence_enabled,precommitment_peer_evidence_weight,precommitment_peer_readiness_aggregation,precommitment_peer_readiness_mean,precommitment_peer_readiness_active_rate,precommitment_peer_evidence_increment_mean,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,reputation_imitation_resource_p0p35,baseline,baseline,resource_threshold_probe,1,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,15,False,0.0,0.0,5,1.0,0.6,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_reputation_imitation_resource_p0p35_seed01.yaml,experiments/runs/20260521_114248_831199_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_reputation_imitation_resource_p0p35_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,reputation_imitation_resource_p0p35,baseline,baseline,resource_threshold_probe,2,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,15,False,0.0,0.0,5,1.0,0.6,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_reputation_imitation_resource_p0p35_seed02.yaml,experiments/runs/20260521_114253_967331_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_reputation_imitation_resource_p0p35_seed02,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,reputation_imitation_resource_p0p35,baseline,baseline,resource_threshold_probe,3,final_mean_payoff,0.6,maximize,mean_payoff,0.6,0.005,0.6,0.0,True,True,15,False,0.0,0.0,5,1.0,0.6,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_reputation_imitation_resource_p0p35_seed03.yaml,experiments/runs/20260521_114259_101056_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_reputation_imitation_resource_p0p35_seed03,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,revision_precommitment_peer_evidence_resource_pressure_envw2p0,diagnostic,baseline,resource_threshold_probe,1,final_mean_payoff,-0.3091199999999999,maximize,mean_payoff,0.6,0.005,-0.3091199999999999,0.9091199999999999,False,False,,False,,,5,0.0,-0.3347359999999999,,,,,0,0.0,0.10299999999999944,1.0,1.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_pressure_envw2p0_seed01.yaml,experiments/runs/20260521_114304_243835_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_pressure_envw2p0_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,revision_precommitment_peer_evidence_resource_pressure_envw2p0,diagnostic,baseline,resource_threshold_probe,2,final_mean_payoff,-0.33827200000000024,maximize,mean_payoff,0.6,0.005,-0.33827200000000024,0.9382720000000002,False,False,,False,,,5,0.0,-0.3336006400000002,,,,,0,0.0,-0.09299999999999965,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_pressure_envw2p0_seed02.yaml,experiments/runs/20260521_114324_790807_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_pressure_envw2p0_seed02,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,revision_precommitment_peer_evidence_resource_pressure_envw2p0,diagnostic,baseline,resource_threshold_probe,3,final_mean_payoff,-0.31245120000000026,maximize,mean_payoff,0.6,0.005,-0.31245120000000026,0.9124512000000002,False,False,,False,,,5,0.0,-0.32223232000000024,,,,,0,0.0,0.06860000000000042,1.0,1.0,0.0,True,1.0,mean,0.010450295312036229,0.95,0.010450295312036229,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_pressure_envw2p0_seed03.yaml,experiments/runs/20260521_114344_625364_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_pressure_envw2p0_seed03,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,revision_precommitment_peer_evidence_resource_lookahead_envw10p0,diagnostic,baseline,resource_threshold_probe,1,final_mean_payoff,0.0,maximize,mean_payoff,0.6,0.005,0.0,0.6,False,False,,False,,,5,0.0,-0.002,,,,,0,0.0,-1.824999999999999,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_lookahead_envw10p0_seed01.yaml,experiments/runs/20260521_114404_047580_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_lookahead_envw10p0_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,revision_precommitment_peer_evidence_resource_lookahead_envw10p0,diagnostic,baseline,resource_threshold_probe,2,final_mean_payoff,0.0,maximize,mean_payoff,0.6,0.005,0.0,0.6,False,False,,False,,,5,0.0,0.0,,,,,0,0.0,-1.824999999999999,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_lookahead_envw10p0_seed02.yaml,experiments/runs/20260521_114423_062637_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_lookahead_envw10p0_seed02,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,revision_precommitment_peer_evidence_resource_lookahead_envw10p0,diagnostic,baseline,resource_threshold_probe,3,final_mean_payoff,-0.01,maximize,mean_payoff,0.6,0.005,-0.01,0.61,False,False,,False,,,5,0.0,-0.004,,,,,0,0.0,-1.824999999999999,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_lookahead_envw10p0_seed03.yaml,experiments/runs/20260521_114442_023778_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_lookahead_envw10p0_seed03,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
toy4_resource_threshold_probe_quick,toy4_resource_threshold_probe,toy4,revision_precommitment_peer_evidence_resource_threshold_local_envw0p5,resource_threshold_probe,baseline,resource_threshold_probe,1,final_mean_payoff,0.0,maximize,mean_payoff,0.6,0.005,0.0,0.6,False,False,,False,,,5,0.0,-0.006,,,,,0,0.0,-1.0250000000000004,0.0,0.0,0.0,True,1.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy4_resource_threshold_probe_quick/toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_threshold_local_envw0p5_seed01.yaml,experiments/runs/20260521_114501_050207_toy4_resource_threshold_probe_quick_toy4_resource_threshold_probe_revision_precommitment_peer_evidence_resource_threshold_local_envw0p5_seed01,full,Neural contribution policy learning and social distillation are the primary path.,"action_probability, policy_distribution, reputation, resource_state","imitation, reputation_imitation"
