label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,ever_ceiling_final_miss,late_flip_count_after_first_ceiling,late_flip_rate_after_first_ceiling,terminal_window_size,terminal_window_ceiling_rate,terminal_window_mean_ceiling_metric,precommitment_first_ready_epoch,precommitment_all_ready_epoch,precommitment_first_forced_epoch,precommitment_ready_to_forced_delay_mean,precommitment_premature_exit_count,precommitment_high_policy_rate,precommitment_direction_score_mean,precommitment_direction_score_positive_rate,precommitment_direction_ok_rate,precommitment_ready_largest_component_fraction,precommitment_peer_evidence_enabled,precommitment_peer_evidence_weight,precommitment_peer_readiness_aggregation,precommitment_peer_readiness_mean,precommitment_peer_readiness_active_rate,precommitment_peer_evidence_increment_mean,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_output_average,baseline,baseline,directional_threshold_target_wavefront_topology,1,domain_non_adoption_rate,1.0,maximize,domain_non_adoption_rate,0.95,0.0,1.0,0.0,True,True,0,False,0.0,0.0,5,1.0,1.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed01.yaml,experiments/runs/20260520_221500_087534_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed01,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_output_average,baseline,baseline,directional_threshold_target_wavefront_topology,2,domain_non_adoption_rate,1.0,maximize,domain_non_adoption_rate,0.95,0.0,1.0,0.0,True,True,0,False,0.0,0.0,5,1.0,1.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed02.yaml,experiments/runs/20260520_221502_526055_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed02,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_output_average,baseline,baseline,directional_threshold_target_wavefront_topology,3,domain_non_adoption_rate,1.0,maximize,domain_non_adoption_rate,0.95,0.0,1.0,0.0,True,True,0,False,0.0,0.0,5,1.0,1.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed03.yaml,experiments/runs/20260520_221504_221840_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed03,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_output_average,baseline,baseline,directional_threshold_target_wavefront_topology,4,domain_non_adoption_rate,1.0,maximize,domain_non_adoption_rate,0.95,0.0,1.0,0.0,True,True,0,False,0.0,0.0,5,1.0,1.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed04.yaml,experiments/runs/20260520_221505_933934_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed04,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_output_average,baseline,baseline,directional_threshold_target_wavefront_topology,5,domain_non_adoption_rate,1.0,maximize,domain_non_adoption_rate,0.95,0.0,1.0,0.0,True,True,0,False,0.0,0.0,5,1.0,1.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed05.yaml,experiments/runs/20260520_221507_598482_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_output_average_seed05,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_non_directional,diagnostic,baseline,directional_threshold_target_wavefront_topology,1,domain_non_adoption_rate,0.0,maximize,domain_non_adoption_rate,0.95,0.0,0.0,0.95,False,True,0,True,100.0,0.05,5,0.0,0.0,2,2,2,0.0,0,1.0,0.0,0.0,1.0,1.0,True,1.0,max,1.0,1.0,1.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed01.yaml,experiments/runs/20260520_221509_314124_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed01,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_non_directional,diagnostic,baseline,directional_threshold_target_wavefront_topology,2,domain_non_adoption_rate,0.0,maximize,domain_non_adoption_rate,0.95,0.0,0.0,0.95,False,True,0,True,100.0,0.05,5,0.0,0.0,2,2,2,0.0,0,1.0,0.0,0.0,1.0,1.0,True,1.0,max,1.0,1.0,1.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed02.yaml,experiments/runs/20260520_221511_038599_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed02,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_non_directional,diagnostic,baseline,directional_threshold_target_wavefront_topology,3,domain_non_adoption_rate,0.0,maximize,domain_non_adoption_rate,0.95,0.0,0.0,0.95,False,True,0,True,100.0,0.05,5,0.0,0.0,2,2,2,0.0,0,1.0,0.0,0.0,1.0,1.0,True,1.0,max,1.0,1.0,1.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed03.yaml,experiments/runs/20260520_221512_797383_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed03,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_non_directional,diagnostic,baseline,directional_threshold_target_wavefront_topology,4,domain_non_adoption_rate,0.0,maximize,domain_non_adoption_rate,0.95,0.0,0.0,0.95,False,True,0,True,100.0,0.05,5,0.0,0.0,2,2,2,0.0,0,1.0,0.0,0.0,1.0,1.0,True,1.0,max,1.0,1.0,1.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed04.yaml,experiments/runs/20260520_221514_517981_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed04,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_neural_threshold_target_wavefront_topology_quick,toy5_threshold_target_wavefront_topology_no_seed_safety,toy5,neural_threshold_target_topology_no_seed_non_directional,diagnostic,baseline,directional_threshold_target_wavefront_topology,5,domain_non_adoption_rate,0.0,maximize,domain_non_adoption_rate,0.95,0.0,0.0,0.95,False,True,0,True,100.0,0.05,5,0.0,0.0,2,2,2,0.0,0,1.0,0.0,0.0,1.0,1.0,True,1.0,max,1.0,1.0,1.0,experiments/configs/generated/evidence_matrix/toy5_neural_threshold_target_wavefront_topology_quick/toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed05.yaml,experiments/runs/20260520_221516_224970_toy5_neural_threshold_target_wavefront_topology_quick_toy5_threshold_target_wavefront_topology_no_seed_safety_neural_threshold_target_topology_no_seed_non_directional_seed05,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
