label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,ever_ceiling_final_miss,late_flip_count_after_first_ceiling,late_flip_rate_after_first_ceiling,terminal_window_size,terminal_window_ceiling_rate,terminal_window_mean_ceiling_metric,precommitment_first_ready_epoch,precommitment_all_ready_epoch,precommitment_first_forced_epoch,precommitment_ready_to_forced_delay_mean,precommitment_premature_exit_count,precommitment_high_policy_rate,precommitment_direction_score_mean,precommitment_direction_score_positive_rate,precommitment_direction_ok_rate,precommitment_ready_largest_component_fraction,precommitment_peer_evidence_enabled,precommitment_peer_evidence_weight,precommitment_peer_readiness_mean,precommitment_peer_readiness_active_rate,precommitment_peer_evidence_increment_mean,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_output_average,baseline,baseline,readiness_frontier,1,domain_cascade_size,89.0,maximize,action_rate,0.95,0.0,0.89,0.05999999999999994,False,False,,False,,,5,0.0,0.89,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_output_average_seed01.yaml,experiments/runs/20260520_182153_919071_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_output_average_seed01,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_output_average,baseline,baseline,readiness_frontier,2,domain_cascade_size,85.0,maximize,action_rate,0.95,0.0,0.85,0.09999999999999998,False,False,,False,,,5,0.0,0.85,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_output_average_seed02.yaml,experiments/runs/20260520_182157_173372_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_output_average_seed02,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_output_average,baseline,baseline,readiness_frontier,3,domain_cascade_size,91.0,maximize,action_rate,0.95,0.0,0.91,0.039999999999999925,False,False,,False,,,5,0.0,0.9099999999999999,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_output_average_seed03.yaml,experiments/runs/20260520_182159_863466_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_output_average_seed03,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_precommitment_evidence,diagnostic,baseline,readiness_frontier,1,domain_cascade_size,89.0,maximize,action_rate,0.95,0.0,0.89,0.05999999999999994,False,False,,False,,,5,0.0,0.89,2,,4,0.0,0,0.8,0.0,0.0,1.0,0.8,False,0.0,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_precommitment_evidence_seed01.yaml,experiments/runs/20260520_182202_566404_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_precommitment_evidence_seed01,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_precommitment_evidence,diagnostic,baseline,readiness_frontier,2,domain_cascade_size,86.0,maximize,action_rate,0.95,0.0,0.86,0.08999999999999997,False,False,,False,,,5,0.0,0.86,2,,2,0.0,0,0.65,0.0,0.0,1.0,0.65,False,0.0,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_precommitment_evidence_seed02.yaml,experiments/runs/20260520_182205_307754_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_precommitment_evidence_seed02,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_precommitment_evidence,diagnostic,baseline,readiness_frontier,3,domain_cascade_size,92.0,maximize,action_rate,0.95,0.0,0.92,0.029999999999999916,False,False,,False,,,5,0.0,0.9200000000000002,2,,2,0.0,0,0.82,0.0,0.0,1.0,0.82,False,0.0,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_precommitment_evidence_seed03.yaml,experiments/runs/20260520_182208_026392_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_precommitment_evidence_seed03,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_readiness_propagation_w1p0,diagnostic,baseline,readiness_frontier,1,domain_cascade_size,100.0,maximize,action_rate,0.95,0.0,1.0,0.0,True,True,5,False,5.0,0.002,5,1.0,1.0,2,6,2,0.0,0,1.0,0.0,0.0,1.0,1.0,True,1.0,1.0,1.0,1.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_readiness_propagation_w1p0_seed01.yaml,experiments/runs/20260520_182210_734880_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_readiness_propagation_w1p0_seed01,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_readiness_propagation_w1p0,diagnostic,baseline,readiness_frontier,2,domain_cascade_size,100.0,maximize,action_rate,0.95,0.0,1.0,0.0,True,True,6,False,0.0,0.0,5,1.0,1.0,2,6,2,0.0,0,1.0,0.0,0.0,1.0,1.0,True,1.0,1.0,1.0,1.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_readiness_propagation_w1p0_seed02.yaml,experiments/runs/20260520_182213_487239_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_readiness_propagation_w1p0_seed02,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_readiness_propagation_w1p0,diagnostic,baseline,readiness_frontier,3,domain_cascade_size,100.0,maximize,action_rate,0.95,0.0,1.0,0.0,True,True,6,False,4.0,0.0016666666666666668,5,1.0,1.0,2,8,2,0.0,0,1.0,0.0,0.0,1.0,1.0,True,1.0,1.0,1.0,1.0,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_readiness_propagation_w1p0_seed03.yaml,experiments/runs/20260520_182216_149730_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_readiness_propagation_w1p0_seed03,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
toy5_readiness_augmented_direction_frontier_quick,toy5_readiness_augmented_direction_frontier,toy5,neural_argmax_local_threshold_direction_w1p0,diagnostic,baseline,readiness_frontier,1,domain_cascade_size,95.0,maximize,action_rate,0.95,0.0,0.95,0.0,True,True,11,False,0.0,0.0,5,1.0,0.95,3,,8,0.0,0,0.89,0.19852380952380955,0.93,0.93,0.88,True,1.0,0.9178170447360513,1.0,0.8626337100633349,experiments/configs/generated/evidence_matrix/toy5_readiness_augmented_direction_frontier_quick/toy5_readiness_augmented_direction_frontier_neural_argmax_local_threshold_direction_w1p0_seed01.yaml,experiments/runs/20260520_182218_807525_toy5_readiness_augmented_direction_frontier_quick_toy5_readiness_augmented_direction_frontier_neural_argmax_local_threshold_direction_w1p0_seed01,full,Neural adoption policy learning and social distillation are the primary path.,"adoption_probability, policy_distribution, reputation, exposure_state","simple_contagion, complex_threshold, reputation_imitation"
