case,mixer,peer_rule,init_mode,alpha,threshold,seeds,accuracy_mean,accuracy_std,consensus_mean,consensus_std,fragmentation_mean,fragmentation_std
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.0,0.6,1,0.8970200002193451,,0.9603077168367347,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.0,0.8,1,0.8970200002193451,,0.9603077168367347,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.0,0.95,1,0.8970200002193451,,0.9603077168367347,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.1,0.6,1,0.8976599979400635,,0.9645328443877551,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.1,0.8,1,0.8976599979400635,,0.9645328443877551,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.1,0.95,1,0.8975960004329682,,0.9645328443877551,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.25,0.6,1,0.8977479994297027,,0.9646938775510204,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.25,0.8,1,0.8977479994297027,,0.9646938775510204,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.25,0.95,1,0.8977679991722107,,0.9647401147959184,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.5,0.6,1,0.8979719996452331,,0.9659901147959183,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.5,0.8,1,0.8979719996452331,,0.9659901147959183,,1.0,
latent_average_state_similarity_same_init,latent_average,state_similarity,same_init,0.5,0.95,1,0.8979560005664825,,0.9659964923469387,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.0,0.6,1,0.8965680050849915,,0.9565019132653061,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.0,0.8,1,0.8965680050849915,,0.9565019132653061,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.0,0.95,1,0.8965680050849915,,0.9565019132653061,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.1,0.6,1,0.897200003862381,,0.9632445790816326,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.1,0.8,1,0.897200003862381,,0.9632445790816326,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.1,0.95,1,0.8971600043773651,,0.9633386479591837,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.25,0.6,1,0.8978080010414123,,0.9673740433673469,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.25,0.8,1,0.8978080010414123,,0.9673740433673469,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.25,0.95,1,0.8978080010414123,,0.9673740433673469,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.5,0.6,1,0.8982999968528748,,0.9710570790816326,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.5,0.8,1,0.8982999968528748,,0.9710570790816326,,1.0,
output_average_output_similarity_same_init,output_average,output_similarity,same_init,0.5,0.95,1,0.8982999968528748,,0.9710570790816326,,1.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.6,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.8,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.95,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.6,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.8,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.95,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.6,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.8,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.95,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.6,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.8,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.95,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.0,0.6,1,0.8965920042991639,,0.9608641581632653,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.0,0.8,1,0.8965920042991639,,0.9608641581632653,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.0,0.95,1,0.8965920042991639,,0.9608641581632653,,2.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.1,0.6,1,0.9000959980487824,,0.9768447066326531,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.1,0.8,1,0.9000959980487824,,0.9768447066326531,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.1,0.95,1,0.9000959980487824,,0.9768447066326531,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.25,0.6,1,0.9021800005435944,,0.9828077168367347,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.25,0.8,1,0.9021800005435944,,0.9828077168367347,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.25,0.95,1,0.9021800005435944,,0.9828077168367347,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.5,0.6,1,0.9032119977474212,,0.9871014030612245,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.5,0.8,1,0.9032119977474212,,0.9871014030612245,,1.0,
parameter_average_state_similarity_same_init,parameter_average,state_similarity,same_init,0.5,0.95,1,0.9032119977474212,,0.9871014030612245,,1.0,
