label,case,seed,mixer,peer_rule,init_mode,alpha,threshold,run_dir,final_mean_global_accuracy,final_mean_consensus,final_fragmentation_components
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.0,0.6,experiments/runs/20260429_150352_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p0_t0p6_seed01,0.8965680050849915,0.9565019132653061,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.0,0.8,experiments/runs/20260429_150407_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p0_t0p8_seed01,0.8965680050849915,0.9565019132653061,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.0,0.95,experiments/runs/20260429_150421_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p0_t0p95_seed01,0.8965680050849915,0.9565019132653061,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.1,0.6,experiments/runs/20260429_150435_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p1_t0p6_seed01,0.897200003862381,0.9632445790816326,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.1,0.8,experiments/runs/20260429_150449_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p1_t0p8_seed01,0.897200003862381,0.9632445790816326,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.1,0.95,experiments/runs/20260429_150503_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p1_t0p95_seed01,0.8971600043773651,0.9633386479591837,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.25,0.6,experiments/runs/20260429_150517_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p25_t0p6_seed01,0.8978080010414123,0.9673740433673469,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.25,0.8,experiments/runs/20260429_150530_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p25_t0p8_seed01,0.8978080010414123,0.9673740433673469,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.25,0.95,experiments/runs/20260429_150544_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p25_t0p95_seed01,0.8978080010414123,0.9673740433673469,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.5,0.6,experiments/runs/20260429_150558_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p5_t0p6_seed01,0.8982999968528748,0.9710570790816326,1
toy1_alpha_threshold_sweep_seed01,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.5,0.8,experiments/runs/20260429_150612_toy1_alpha_threshold_sweep_seed01_output_average_output_similarity_same_init_a0p5_t0p8_seed01,0.8982999968528748,0.9710570790816326,1
