label,case,seed,mixer,peer_rule,init_mode,alpha,threshold,run_dir,final_mean_global_accuracy,final_mean_consensus,final_fragmentation_components
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.0,0.8,experiments/runs/20260429_153344_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p0_t0p8_seed01,0.8965680050849915,0.9565019132653061,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.1,0.8,experiments/runs/20260429_153401_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p1_t0p8_seed01,0.897200003862381,0.9632445790816326,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.25,0.8,experiments/runs/20260429_153419_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p25_t0p8_seed01,0.8978080010414123,0.9673740433673469,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,1,output_average,output_similarity,same_init,0.5,0.8,experiments/runs/20260429_153443_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p5_t0p8_seed01,0.8982999968528748,0.9710570790816326,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,2,output_average,output_similarity,same_init,0.0,0.8,experiments/runs/20260429_153501_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p0_t0p8_seed02,0.8876000010967254,0.9471508290816326,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,2,output_average,output_similarity,same_init,0.1,0.8,experiments/runs/20260429_153523_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p1_t0p8_seed02,0.8895520007610321,0.9534390943877551,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,2,output_average,output_similarity,same_init,0.25,0.8,experiments/runs/20260429_153543_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p25_t0p8_seed02,0.8907440006732941,0.9573804209183674,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,2,output_average,output_similarity,same_init,0.5,0.8,experiments/runs/20260429_153600_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p5_t0p8_seed02,0.8914679992198944,0.960374681122449,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,3,output_average,output_similarity,same_init,0.0,0.8,experiments/runs/20260429_153615_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p0_t0p8_seed03,0.8869120013713837,0.9513345025510204,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,3,output_average,output_similarity,same_init,0.1,0.8,experiments/runs/20260429_153630_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p1_t0p8_seed03,0.8876440000534057,0.9549410076530612,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,3,output_average,output_similarity,same_init,0.25,0.8,experiments/runs/20260429_153645_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p25_t0p8_seed03,0.8883279967308044,0.9569164540816326,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,3,output_average,output_similarity,same_init,0.5,0.8,experiments/runs/20260429_153700_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p5_t0p8_seed03,0.8887520027160645,0.9614652423469388,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,4,output_average,output_similarity,same_init,0.0,0.8,experiments/runs/20260429_153715_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p0_t0p8_seed04,0.8858319973945618,0.9474537627551021,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,4,output_average,output_similarity,same_init,0.1,0.8,experiments/runs/20260429_153730_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p1_t0p8_seed04,0.8869640016555786,0.9531664540816327,1
toy1_output_alpha_sweep_seeds01_05,output_average_output_similarity_same_init,4,output_average,output_similarity,same_init,0.25,0.8,experiments/runs/20260429_153745_toy1_output_alpha_sweep_seeds01_05_output_average_output_similarity_same_init_a0p25_t0p8_seed04,0.8876799976825714,0.9573373724489795,1
