case,mixer,peer_rule,init_mode,alpha,threshold,seeds,accuracy_mean,accuracy_std,consensus_mean,consensus_std,fragmentation_mean,fragmentation_std
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,-0.2,1,0.891972005367279,,0.9494339923469388,,1.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.0,1,0.891972005367279,,0.9494339923469388,,4.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.2,1,0.891972005367279,,0.9494339923469388,,32.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.4,1,0.891972005367279,,0.9494339923469388,,49.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.0,0.6,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,-0.2,1,0.8956160068511962,,0.9669323979591836,,1.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.0,1,0.8958279967308045,,0.9677439413265306,,1.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.2,1,0.8923960018157959,,0.9566757015306122,,31.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.4,1,0.891940004825592,,0.9497528698979592,,49.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.1,0.6,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,-0.2,1,0.8976080000400544,,0.9802630739795918,,1.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.0,1,0.8979560017585755,,0.9792394770408164,,1.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.2,1,0.8941480028629303,,0.9596922831632653,,29.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.4,1,0.8919760060310363,,0.9498692602040816,,49.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.25,0.6,1,0.891972005367279,,0.9494339923469388,,50.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,-0.2,1,0.8973080015182495,,0.9876690051020408,,1.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.0,1,0.8970119976997375,,0.9895089285714286,,1.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.2,1,0.8939440035820008,,0.9608721301020409,,28.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.4,1,0.8920400047302246,,0.9498533163265306,,49.0,
parameter_average_state_similarity_independent_init,parameter_average,state_similarity,independent_init,0.5,0.6,1,0.891972005367279,,0.9494339923469388,,50.0,
