regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,alpha,selection_strength,payoff_transform,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
snowdrift,snowdrift,fermi_imitation,none,none,0.1,0.0,1.0,linear,5,0.094,0.1451895313030523,0.47450000000000003,0.7293970112359934,0.08394225537776948,0.046,100.0
snowdrift,snowdrift,fermi_imitation,none,none,0.3,0.0,1.0,linear,5,0.158,0.12235195135346229,0.7785,0.6121621517212575,0.1391528457403183,0.074,100.0
snowdrift,snowdrift,fermi_imitation,none,none,0.5,0.0,1.0,linear,5,0.162,0.12255610959882825,0.808,0.6085058545322305,0.14724045544862746,0.074,100.0
snowdrift,snowdrift,fermi_imitation,none,none,0.7,0.0,1.0,linear,5,0.3,0.06363961030678926,1.4215,0.28511291622793944,0.28156079947948454,0.174,100.0
snowdrift,snowdrift,fermi_imitation,none,none,0.9,0.0,1.0,linear,5,0.48600000000000004,0.28483328457187024,1.9515,0.8036102133497308,0.46441162526607516,0.442,100.0
snowdrift,snowdrift,fermi_imitation,output_average,none,0.1,0.25,1.0,linear,5,0.042,0.06260990336999413,0.2205,0.3450652112282546,0.0485117644071579,0.022000000000000002,1.0
snowdrift,snowdrift,fermi_imitation,output_average,none,0.3,0.25,1.0,linear,5,0.068,0.07014271166700073,0.39299999999999996,0.40325007749534286,0.07327593713998795,0.018,1.0
snowdrift,snowdrift,fermi_imitation,output_average,none,0.5,0.25,1.0,linear,5,0.136,0.12973048986263794,0.6495,0.6031852949135946,0.1293417051434517,0.11200000000000002,1.0
snowdrift,snowdrift,fermi_imitation,output_average,none,0.7,0.25,1.0,linear,5,0.168,0.14166862743741115,0.819,0.6225316257026626,0.1602436289191246,0.132,1.0
snowdrift,snowdrift,fermi_imitation,output_average,none,0.9,0.25,1.0,linear,5,0.284,0.17868967513541456,1.3210000000000002,0.6882691152449019,0.2584853008389473,0.20400000000000001,1.0
snowdrift,snowdrift,neural_policy,none,none,0.1,0.0,1.0,linear,5,0.43,0.039999999999999994,2.2595,0.16426350781594803,0.44637298583984375,0.178,100.0
snowdrift,snowdrift,neural_policy,none,none,0.3,0.0,1.0,linear,5,0.438,0.040865633483405085,2.2835,0.18579726854827552,0.44741101264953614,0.19,100.0
