label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,decision_mode,action_temperature,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.6,match_p0,0.6,counterfactual_advantage,spatial,spatial,sampled,1.0,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183548_943164_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_1p0_r0p25_a0p0_seed01,0.29,1.98,0.2688222825527191,12,0.08,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.6,match_p0,0.6,counterfactual_advantage,spatial,spatial,sampled,1.0,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183551_353723_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_1p0_r0p25_a0p0_seed02,0.46,2.245,0.40122634172439575,7,0.29,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.6,match_p0,0.6,counterfactual_advantage,spatial,spatial,sampled,1.0,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183553_497557_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_1p0_r0p25_a0p0_seed03,0.36,2.165,0.33827781677246094,8,0.19,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.6,match_p0,0.6,counterfactual_advantage,spatial,spatial,sampled,0.5,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183555_598313_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_0p5_r0p25_a0p0_seed01,0.38,2.31,0.34619826078414917,5,0.3,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.6,match_p0,0.6,counterfactual_advantage,spatial,spatial,sampled,0.5,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183557_776124_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_0p5_r0p25_a0p0_seed02,0.61,2.755,0.5681416988372803,1,0.61,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.6,match_p0,0.6,counterfactual_advantage,spatial,spatial,sampled,0.5,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183559_944265_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p6_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_0p5_r0p25_a0p0_seed03,0.5,2.415,0.4894147217273712,5,0.31,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,rd_well_mixed,none,none,1,0.6,default,,sampled_policy_gradient,spatial,spatial,sampled,1.0,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183601_989988_toy2_decision_kernel_smoke_20260430_stag_hunt_rd_well_mixed_p0p6_r0p25_reference_seed01,2.2137801096281825e-06,1.9999955725475966,2.2137801096281825e-06,0,0.0,0
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.7,match_p0,0.7,counterfactual_advantage,spatial,spatial,sampled,1.0,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183602_047266_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_1p0_r0p25_a0p0_seed01,0.57,2.6,0.5256155133247375,1,0.57,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.7,match_p0,0.7,counterfactual_advantage,spatial,spatial,sampled,1.0,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183604_164509_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_1p0_r0p25_a0p0_seed02,0.73,2.965,0.7063460350036621,1,0.73,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.7,match_p0,0.7,counterfactual_advantage,spatial,spatial,sampled,1.0,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183606_244483_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_1p0_r0p25_a0p0_seed03,0.71,2.865,0.7371990084648132,1,0.71,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.7,match_p0,0.7,counterfactual_advantage,spatial,spatial,sampled,0.5,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183608_408400_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_0p5_r0p25_a0p0_seed01,0.9,3.59,0.8647334575653076,1,0.9,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.7,match_p0,0.7,counterfactual_advantage,spatial,spatial,sampled,0.5,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183610_751259_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_0p5_r0p25_a0p0_seed02,0.99,3.95,0.9612629413604736,1,0.99,100
toy2_decision_kernel_smoke_20260430,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.7,match_p0,0.7,counterfactual_advantage,spatial,spatial,sampled,0.5,0.25,0.0,1.0,1.0,linear,0.0,True,experiments/runs/20260430_183612_880459_toy2_decision_kernel_smoke_20260430_stag_hunt_neural_policy_none_p0p7_prior_match_p0_counterfactual_adv_peer_spatial_interaction_spatial_action_sampled_action_temp_0p5_r0p25_a0p0_seed03,0.98,3.9,0.9458020925521851,1,0.98,100
