label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,none,none,1,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095132_597676_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_none_a0p0_seed01,0.12,1.36,0.12855565547943115,12,0.01,100
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,none,none,2,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095136_666506_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_none_a0p0_seed02,0.1,1.285,0.120668925344944,7,0.04,100
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,none,none,3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095140_005849_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_none_a0p0_seed03,0.2,1.545,0.11031712591648102,10,0.06,100
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,none,none,4,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095143_347301_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_none_a0p0_seed04,0.11,1.31,0.13167113065719604,7,0.04,100
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,none,none,5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095146_711144_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_none_a0p0_seed05,0.18,1.505,0.12671643495559692,11,0.04,100
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,1,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095150_050005_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p0_seed01,0.08,1.24,0.09075130522251129,8,0.01,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,2,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095155_871692_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p0_seed02,0.1,1.285,0.08069734275341034,7,0.04,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,3,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095201_852011_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p0_seed03,0.15,1.415,0.072943776845932,8,0.04,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,4,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095207_794523_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p0_seed04,0.08,1.225,0.08414354175329208,5,0.03,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,5,0.0,1.0,1.0,linear,0.0,experiments/runs/20260430_095213_766339_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p0_seed05,0.08,1.24,0.0824643224477768,8,0.01,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,1,0.1,1.0,1.0,linear,0.0,experiments/runs/20260430_095220_112933_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p1_seed01,0.04,1.12,0.0727429986000061,4,0.01,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,2,0.1,1.0,1.0,linear,0.0,experiments/runs/20260430_095225_999346_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p1_seed02,0.07,1.195,0.06918706744909286,4,0.04,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,3,0.1,1.0,1.0,linear,0.0,experiments/runs/20260430_095232_043719_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p1_seed03,0.11,1.315,0.06135513633489609,8,0.04,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,4,0.1,1.0,1.0,linear,0.0,experiments/runs/20260430_095238_034748_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p1_seed04,0.11,1.315,0.07338906079530716,8,0.03,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,5,0.1,1.0,1.0,linear,0.0,experiments/runs/20260430_095244_495139_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p1_seed05,0.06,1.175,0.06986377388238907,5,0.02,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,1,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_095250_432280_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p25_seed01,0.06,1.175,0.06500715017318726,5,0.02,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,2,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_095256_627290_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p25_seed02,0.07,1.195,0.0720331072807312,4,0.04,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,3,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_095302_628753_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p25_seed03,0.12,1.34,0.059396278113126755,8,0.04,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,4,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_095308_688110_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p25_seed04,0.09,1.26,0.07078716158866882,7,0.03,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,5,0.25,1.0,1.0,linear,0.0,experiments/runs/20260430_095314_596650_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p25_seed05,0.06,1.175,0.06389311701059341,5,0.02,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,1,0.5,1.0,1.0,linear,0.0,experiments/runs/20260430_095320_766328_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p5_seed01,0.05,1.15,0.06826267391443253,5,0.01,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,2,0.5,1.0,1.0,linear,0.0,experiments/runs/20260430_095326_931912_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p5_seed02,0.07,1.195,0.07226363569498062,4,0.04,1
toy2_neural_alpha_sweep_seeds01_05,harsh_pd,prisoner_dilemma,defection-dominant baseline,5.0,3.0,1.0,0.0,neural_policy,output_average,none,3,0.5,1.0,1.0,linear,0.0,experiments/runs/20260430_095333_094977_toy2_neural_alpha_sweep_seeds01_05_harsh_pd_neural_policy_output_average_a0p5_seed03,0.13,1.365,0.05822577327489853,8,0.04,1
