regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,alpha,selection_strength,payoff_transform,learning_enabled,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
snowdrift,snowdrift,neural_policy,none,none,0.1,0.0,1.0,linear,False,1,0.53,,2.465,,0.5015883445739746,0.39,100.0
snowdrift,snowdrift,neural_policy,none,none,0.5,0.0,1.0,linear,False,1,0.53,,2.465,,0.5015882253646851,0.39,100.0
snowdrift,snowdrift,neural_policy,none,none,0.9,0.0,1.0,linear,False,1,0.53,,2.465,,0.5015881061553955,0.39,100.0
snowdrift,snowdrift,neural_policy,output_average,none,0.1,0.25,1.0,linear,False,1,0.53,,2.5175,,0.5033864378929138,0.47,1.0
snowdrift,snowdrift,neural_policy,output_average,none,0.5,0.25,1.0,linear,False,1,0.53,,2.5175,,0.5028409361839294,0.47,1.0
snowdrift,snowdrift,neural_policy,output_average,none,0.9,0.25,1.0,linear,False,1,0.53,,2.5175,,0.5021741986274719,0.47,1.0
soft_pd,prisoner_dilemma,neural_policy,none,none,0.1,0.0,1.0,linear,False,1,0.53,,1.96,,0.5013942718505859,0.39,100.0
soft_pd,prisoner_dilemma,neural_policy,none,none,0.5,0.0,1.0,linear,False,1,0.53,,1.96,,0.5013941526412964,0.39,100.0
soft_pd,prisoner_dilemma,neural_policy,none,none,0.9,0.0,1.0,linear,False,1,0.53,,1.96,,0.5013942122459412,0.39,100.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.1,0.25,1.0,linear,False,1,0.53,,1.9540000000000004,,0.5028221607208252,0.47,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.5,0.25,1.0,linear,False,1,0.53,,1.9540000000000004,,0.5032552480697632,0.47,1.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.9,0.25,1.0,linear,False,1,0.53,,1.9540000000000004,,0.5016925930976868,0.47,1.0
stag_hunt,stag_hunt,neural_policy,none,none,0.1,0.0,1.0,linear,False,1,0.53,,2.31,,0.5013512969017029,0.39,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.5,0.0,1.0,linear,False,1,0.53,,2.31,,0.5013512372970581,0.39,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.9,0.0,1.0,linear,False,1,0.53,,2.31,,0.5013514161109924,0.39,100.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.1,0.25,1.0,linear,False,1,0.53,,2.265,,0.503609836101532,0.47,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.5,0.25,1.0,linear,False,1,0.53,,2.265,,0.5027440786361694,0.47,1.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.9,0.25,1.0,linear,False,1,0.53,,2.265,,0.5021533370018005,0.47,1.0
