label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_no_learning_control_seed01,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,1,0.1,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110708_105253_toy2_no_learning_control_seed01_soft_pd_neural_policy_none_p0p1_a0p0_seed01,0.53,1.96,0.5013942718505859,5,0.39,100
toy2_no_learning_control_seed01,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,1,0.1,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110708_946484_toy2_no_learning_control_seed01_soft_pd_neural_policy_output_average_p0p1_a0p25_seed01,0.53,1.9540000000000004,0.5028221607208252,6,0.47,1
toy2_no_learning_control_seed01,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,1,0.5,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110711_999606_toy2_no_learning_control_seed01_soft_pd_neural_policy_none_p0p5_a0p0_seed01,0.53,1.96,0.5013941526412964,5,0.39,100
toy2_no_learning_control_seed01,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,1,0.5,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110712_696668_toy2_no_learning_control_seed01_soft_pd_neural_policy_output_average_p0p5_a0p25_seed01,0.53,1.9540000000000004,0.5032552480697632,6,0.47,1
toy2_no_learning_control_seed01,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,none,none,1,0.9,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110715_553117_toy2_no_learning_control_seed01_soft_pd_neural_policy_none_p0p9_a0p0_seed01,0.53,1.96,0.5013942122459412,5,0.39,100
toy2_no_learning_control_seed01,soft_pd,prisoner_dilemma,weak dilemma,3.1,3.0,1.0,0.5,neural_policy,output_average,none,1,0.9,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110716_235035_toy2_no_learning_control_seed01_soft_pd_neural_policy_output_average_p0p9_a0p25_seed01,0.53,1.9540000000000004,0.5016925930976868,6,0.47,1
toy2_no_learning_control_seed01,snowdrift,snowdrift,mixed strategy regime,5.0,3.0,0.0,1.5,neural_policy,none,none,1,0.1,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110719_115005_toy2_no_learning_control_seed01_snowdrift_neural_policy_none_p0p1_a0p0_seed01,0.53,2.465,0.5015883445739746,5,0.39,100
toy2_no_learning_control_seed01,snowdrift,snowdrift,mixed strategy regime,5.0,3.0,0.0,1.5,neural_policy,output_average,none,1,0.1,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110719_806574_toy2_no_learning_control_seed01_snowdrift_neural_policy_output_average_p0p1_a0p25_seed01,0.53,2.5175,0.5033864378929138,6,0.47,1
toy2_no_learning_control_seed01,snowdrift,snowdrift,mixed strategy regime,5.0,3.0,0.0,1.5,neural_policy,none,none,1,0.5,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110722_680887_toy2_no_learning_control_seed01_snowdrift_neural_policy_none_p0p5_a0p0_seed01,0.53,2.465,0.5015882253646851,5,0.39,100
toy2_no_learning_control_seed01,snowdrift,snowdrift,mixed strategy regime,5.0,3.0,0.0,1.5,neural_policy,output_average,none,1,0.5,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110723_409954_toy2_no_learning_control_seed01_snowdrift_neural_policy_output_average_p0p5_a0p25_seed01,0.53,2.5175,0.5028409361839294,6,0.47,1
toy2_no_learning_control_seed01,snowdrift,snowdrift,mixed strategy regime,5.0,3.0,0.0,1.5,neural_policy,none,none,1,0.9,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110726_273046_toy2_no_learning_control_seed01_snowdrift_neural_policy_none_p0p9_a0p0_seed01,0.53,2.465,0.5015881061553955,5,0.39,100
toy2_no_learning_control_seed01,snowdrift,snowdrift,mixed strategy regime,5.0,3.0,0.0,1.5,neural_policy,output_average,none,1,0.9,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110726_965050_toy2_no_learning_control_seed01_snowdrift_neural_policy_output_average_p0p9_a0p25_seed01,0.53,2.5175,0.5021741986274719,6,0.47,1
toy2_no_learning_control_seed01,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.1,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110729_867034_toy2_no_learning_control_seed01_stag_hunt_neural_policy_none_p0p1_a0p0_seed01,0.53,2.31,0.5013512969017029,5,0.39,100
toy2_no_learning_control_seed01,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,output_average,none,1,0.1,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110730_561120_toy2_no_learning_control_seed01_stag_hunt_neural_policy_output_average_p0p1_a0p25_seed01,0.53,2.265,0.503609836101532,6,0.47,1
toy2_no_learning_control_seed01,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.5,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110733_456212_toy2_no_learning_control_seed01_stag_hunt_neural_policy_none_p0p5_a0p0_seed01,0.53,2.31,0.5013512372970581,5,0.39,100
toy2_no_learning_control_seed01,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,output_average,none,1,0.5,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110734_193467_toy2_no_learning_control_seed01_stag_hunt_neural_policy_output_average_p0p5_a0p25_seed01,0.53,2.265,0.5027440786361694,6,0.47,1
toy2_no_learning_control_seed01,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.9,0.0,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110737_227533_toy2_no_learning_control_seed01_stag_hunt_neural_policy_none_p0p9_a0p0_seed01,0.53,2.31,0.5013514161109924,5,0.39,100
toy2_no_learning_control_seed01,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,output_average,none,1,0.9,0.25,1.0,1.0,linear,0.0,False,experiments/runs/20260430_110737_912370_toy2_no_learning_control_seed01_stag_hunt_neural_policy_output_average_p0p9_a0p25_seed01,0.53,2.265,0.5021533370018005,6,0.47,1
