regime,game_family,update_rule,mixer,peer_rule,alpha,selection_strength,payoff_transform,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
harsh_pd,prisoner_dilemma,fermi_imitation,none,none,0.25,1.0,linear,5,0.0,0.0,1.0,0.0,0.0,0.0,100.0
harsh_pd,prisoner_dilemma,fermi_imitation,output_average,none,0.25,1.0,linear,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
harsh_pd,prisoner_dilemma,neural_policy,none,none,0.25,1.0,linear,5,0.142,0.04494441010848846,1.401,0.11722840952601885,0.12358585447072983,0.038,100.0
harsh_pd,prisoner_dilemma,neural_policy,output_average,none,0.25,1.0,linear,5,0.08,0.025495097567963924,1.229,0.0711863751008576,0.0662233628332615,0.03,1.0
harsh_pd,prisoner_dilemma,rd_well_mixed,none,none,0.0,1.0,linear,1,8.700011560019977e-06,,1.000032624925083,,8.700011560019977e-06,0.0,0.0
mild_pd,prisoner_dilemma,fermi_imitation,none,none,0.25,1.0,linear,5,0.0,0.0,1.0,0.0,0.0,0.0,100.0
mild_pd,prisoner_dilemma,fermi_imitation,output_average,none,0.25,1.0,linear,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mild_pd,prisoner_dilemma,neural_policy,none,none,0.25,1.0,linear,5,0.172,0.0432434966208793,1.278,0.07359942255208249,0.1634618043899536,0.05600000000000001,100.0
mild_pd,prisoner_dilemma,neural_policy,output_average,none,0.25,1.0,linear,5,0.10400000000000001,0.016733200530681516,1.1625,0.027782638463616078,0.09009870141744614,0.034,1.0
mild_pd,prisoner_dilemma,rd_well_mixed,none,none,0.0,1.0,linear,1,1.0904066622966767e-07,,1.0000002289853898,,1.0904066622966767e-07,0.0,0.0
snowdrift,snowdrift,fermi_imitation,none,none,0.25,1.0,linear,5,0.162,0.12255610959882825,0.808,0.6085058545322305,0.14724045544862746,0.074,100.0
snowdrift,snowdrift,fermi_imitation,output_average,none,0.25,1.0,linear,5,0.136,0.12973048986263794,0.6495,0.6031852949135946,0.1293417051434517,0.11200000000000002,1.0
snowdrift,snowdrift,neural_policy,none,none,0.25,1.0,linear,5,0.43600000000000005,0.04669047011971501,2.2670000000000003,0.19243830180086288,0.44807342290878294,0.188,100.0
snowdrift,snowdrift,neural_policy,output_average,none,0.25,1.0,linear,5,0.454,0.03847076812334269,2.2195,0.10394409555140678,0.44986847043037415,0.25,1.0
snowdrift,snowdrift,rd_well_mixed,none,none,0.0,1.0,linear,1,0.42857711315277214,,2.142881155167957,,0.42857711315277214,0.0,0.0
soft_pd,prisoner_dilemma,fermi_imitation,none,none,0.25,1.0,linear,5,0.0,0.0,1.0,0.0,0.0,0.0,100.0
soft_pd,prisoner_dilemma,fermi_imitation,output_average,none,0.25,1.0,linear,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0
soft_pd,prisoner_dilemma,neural_policy,none,none,0.25,1.0,linear,5,0.31799999999999995,0.025884358211089583,1.5532000000000001,0.05593925276583512,0.3222904860973358,0.11000000000000001,100.0
soft_pd,prisoner_dilemma,neural_policy,output_average,none,0.25,1.0,linear,5,0.28,0.012247448713915882,1.4808000000000001,0.017469974241537876,0.2666230320930481,0.078,1.0
soft_pd,prisoner_dilemma,rd_well_mixed,none,none,0.0,1.0,linear,1,0.00040013482121261474,,1.0007632991419761,,0.00040013482121261474,0.0,0.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.25,1.0,linear,5,0.0,0.0,2.0,0.0,0.0,0.0,100.0
stag_hunt,stag_hunt,fermi_imitation,output_average,none,0.25,1.0,linear,5,0.0,0.0,2.0,0.0,0.0,0.0,1.0
stag_hunt,stag_hunt,neural_policy,none,none,0.25,1.0,linear,5,0.196,0.016733200530681516,1.972,0.05707451270050412,0.19836421310901642,0.074,100.0
stag_hunt,stag_hunt,neural_policy,output_average,none,0.25,1.0,linear,5,0.10400000000000001,0.03049590136395381,1.9560000000000002,0.03507135583350045,0.07933450862765312,0.039999999999999994,1.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.0,1.0,linear,1,4.881933852516003e-14,,1.9999999999999025,,4.881933852516003e-14,0.0,0.0
