regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,action_selection_mode,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,learning_enabled,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,True,5,1.0,0.0,4.0,0.0,0.9988852143287659,1.0,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,True,5,0.013999999999999999,0.01140175425099138,1.986,0.0100933146190932,0.00948869539424777,0.008,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,True,5,1.0,0.0,4.0,0.0,0.9989949584007263,1.0,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,True,5,0.048,0.04604345773288535,1.966,0.017818529681205425,0.023449000902473927,0.012,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,True,5,1.0,0.0,4.0,0.0,0.9992319703102112,1.0,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,True,5,0.148,0.08642916174532761,1.9184999999999999,0.027306134841826226,0.10606261417269706,0.028000000000000004,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,True,5,1.0,0.0,4.0,0.0,0.9992666959762573,1.0,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,True,5,0.406,0.18022208521710095,2.155,0.22350195748583496,0.3637272447347641,0.23000000000000004,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.75,match_p0,0.75,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,True,5,1.0,0.0,4.0,0.0,0.9993875741958618,1.0,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.75,match_p0,0.75,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,True,5,0.74,0.13820274961085255,2.994,0.44116890189586133,0.7129170298576355,0.718,100.0
