label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,action_selection_mode,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170725_697703_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed01,0.03,1.9725,0.0068329377099871635,3,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170739_448088_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed02,0.01,1.99,0.016237707808613777,1,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170750_465761_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed03,0.0,2.0,0.008260272443294525,0,0.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170758_767794_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed04,0.02,1.9825,0.011502482928335667,2,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,sampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170802_264352_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_sampled_r0p25_a0p0_seed05,0.01,1.985,0.004610076081007719,1,0.01,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170811_706335_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed01,1.0,4.0,0.9987391829490662,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170818_794380_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed02,1.0,4.0,0.9994286894798279,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170825_042067_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed03,1.0,4.0,0.998555064201355,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170829_380339_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed04,1.0,4.0,0.9987399578094482,1,1.0,100
toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,argmax,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/neural_abm_toy2_action_channel/runs/20260430_170833_405606_toy2_stag_hunt_action_channel_gate_b_argmax_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_action_argmax_r0p25_a0p0_seed05,1.0,4.0,0.9989631772041321,1,1.0,100
