condition,update_rule,policy_prior_mode,local_update_rule,learning_enabled,revision_rate,epoch,coop_slope_vs_p0,policy_slope_vs_p0
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.1,0,1.0306122448979593,1.0306122552375405
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.1,1,1.0278911564625852,1.0345867582324415
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.1,5,1.0425850340136056,1.0430506944250901
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.1,10,1.040952380952381,1.0366464715425663
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.1,25,1.1183673469387756,1.1064839858282993
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.1,50,1.1108843537414967,1.11849213193874
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,0,1.0306122448979593,0.9999998598074429
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,1,1.0146938775510204,1.0201529387105894
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,5,1.0360544217687078,1.1028358391961273
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,10,1.0715646258503402,1.195353285745293
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,25,1.1806802721088439,1.2688310360440949
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,50,1.2315646258503403,1.2288782047832443
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,0,1.0306122448979593,0.9999998598074429
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,1,1.0146938775510204,1.0009801400964764
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,5,1.0187755102040819,1.0078828538558924
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,10,1.0365986394557825,1.0158397371874377
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,25,0.9780952380952384,1.040473885073954
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,50,0.9964625850340136,1.07166427708402
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,0,1.0000000000000002,1.0000000000000002
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,1,1.0856428571428571,1.0856428571428571
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,5,1.2953463052709933,1.2953463052709933
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,10,1.3469070037704114,1.3469070037704114
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,25,1.381522025129157,1.381522025129157
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,50,1.3877500467159711,1.3877500467159711
