condition,update_rule,policy_prior_mode,local_update_rule,learning_enabled,initial_cooperation_probability,revision_rate,seeds,cooperation_mean,cooperation_std,payoff_mean,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.1,0.1,3,0.056666666666666664,0.03511884584284246,2.0083333333333333,0.05635628104209894,0.043333333333333335,100.0
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.3,0.1,3,0.20000000000000004,0.08717797887081345,2.1,0.1961496124664942,0.12,100.0
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.5,0.1,3,0.35333333333333333,0.07094598884597587,2.266666666666667,0.3505809009075165,0.26666666666666666,100.0
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.6,0.1,3,0.47,0.19052558883257648,2.46,0.4753226041793823,0.3733333333333333,100.0
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.7,0.1,3,0.6366666666666666,0.2074447717666881,2.8433333333333337,0.6456857721010844,0.6266666666666666,100.0
fermi_imitation,fermi_imitation,default,sampled_policy_gradient,False,0.9,0.1,3,0.9666666666666667,0.025166114784235843,3.8683333333333336,0.9666666785875956,0.9666666666666667,100.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.1,0.1,3,0.01,0.0,1.99,0.0003945293622867,0.01,100.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.3,0.1,3,0.02666666666666667,0.01527525231651947,1.9783333333333335,0.0110226329416036,0.013333333333333334,100.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.5,0.1,3,0.14333333333333334,0.02516611478423584,1.9666666666666668,0.07510010773936904,0.05333333333333334,100.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.6,0.1,3,0.2733333333333334,0.09291573243177567,2.091666666666667,0.2104844550291697,0.16666666666666666,100.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.7,0.1,3,0.63,0.16093476939431087,2.78,0.5820598304271698,0.56,100.0
neural_match_p0_counterfactual_advantage,neural_policy,match_p0,counterfactual_advantage,True,0.9,0.1,3,0.9833333333333334,0.028867513459481322,3.921666666666667,0.9948127468427023,0.9833333333333334,100.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.1,0.1,3,0.13,0.05,1.91,0.07769192506869631,0.02,100.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.3,0.1,3,0.3233333333333333,0.020816659994661344,1.9816666666666667,0.25257204473018646,0.07666666666666666,100.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.5,0.1,3,0.54,0.05567764362830026,2.345,0.475047081708908,0.4633333333333334,100.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.6,0.1,3,0.6366666666666667,0.051316014394468874,2.5483333333333333,0.5883194406827291,0.5966666666666667,100.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.7,0.1,3,0.7400000000000001,0.062449979983983925,2.91,0.7110649545987447,0.7366666666666667,100.0
neural_match_p0_sampled_policy_gradient,neural_policy,match_p0,sampled_policy_gradient,True,0.9,0.1,3,0.9166666666666666,0.015275252316519468,3.598333333333333,0.9214454293251038,0.9166666666666666,100.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.1,0.1,1,1.5091079792956772e-16,,2.0,1.5091079792956772e-16,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.3,0.1,1,1.856478620481736e-15,,1.999999999999997,1.856478620481736e-15,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.5,0.1,1,4.8819338525160034e-14,,1.9999999999999023,4.8819338525160034e-14,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.6,0.1,1,2.111248601795015e-12,,1.9999999999957772,2.111248601795015e-12,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.7,0.1,1,0.9999889636644054,,3.999926426522439,0.9999889636644054,0.0,0.0
rd_well_mixed,rd_well_mixed,default,sampled_policy_gradient,False,0.9,0.1,1,0.9999998932270588,,3.999999288180588,0.9999998932270588,0.0,0.0
