condition,update_rule,policy_prior_mode,learning_enabled,revision_rate,epoch,coop_slope_vs_p0,policy_slope_vs_p0
fermi_imitation,fermi_imitation,default,False,0.1,0,1.0306122448979593,1.0306122552375405
fermi_imitation,fermi_imitation,default,False,0.1,1,1.0278911564625852,1.0345867582324415
fermi_imitation,fermi_imitation,default,False,0.1,5,1.0425850340136056,1.0430506944250901
fermi_imitation,fermi_imitation,default,False,0.1,10,1.040952380952381,1.0366464715425663
fermi_imitation,fermi_imitation,default,False,0.1,25,1.1183673469387756,1.1064839858282993
fermi_imitation,fermi_imitation,default,False,0.1,50,1.1108843537414967,1.11849213193874
neural_default_learn,neural_policy,default,True,0.1,0,1.0306122448979593,-0.0007323383474020937
neural_default_learn,neural_policy,default,True,0.1,1,0.9565986394557826,0.00021488609768071962
neural_default_learn,neural_policy,default,True,0.1,5,0.6107482993197278,0.0055513892854962615
neural_default_learn,neural_policy,default,True,0.1,10,0.39945578231292533,0.012299996249529979
neural_default_learn,neural_policy,default,True,0.1,25,0.08653061224489815,0.03117463661699881
neural_default_learn,neural_policy,default,True,0.1,50,0.025442176870748616,0.05546315511067717
neural_default_no_learn,neural_policy,default,False,0.1,0,1.0306122448979593,-0.0007323383474020937
neural_default_no_learn,neural_policy,default,False,0.1,1,0.9565986394557826,-0.0007323383474020937
neural_default_no_learn,neural_policy,default,False,0.1,5,0.6076190476190476,-0.0019489749759233166
neural_default_no_learn,neural_policy,default,False,0.1,10,0.3917006802721089,-0.001426336311158525
neural_default_no_learn,neural_policy,default,False,0.1,25,0.06775510204081663,0.0012770327581033056
neural_default_no_learn,neural_policy,default,False,0.1,50,0.004625850340136173,2.997262137275503e-06
neural_match_p0_learn,neural_policy,match_p0,True,0.1,0,1.0306122448979593,0.9999998598074429
neural_match_p0_learn,neural_policy,match_p0,True,0.1,1,1.0146938775510204,1.0009801400964764
neural_match_p0_learn,neural_policy,match_p0,True,0.1,5,1.0187755102040819,1.0078828538558924
neural_match_p0_learn,neural_policy,match_p0,True,0.1,10,1.0365986394557825,1.0158397371874377
neural_match_p0_learn,neural_policy,match_p0,True,0.1,25,0.9780952380952384,1.040473885073954
neural_match_p0_learn,neural_policy,match_p0,True,0.1,50,0.9964625850340136,1.07166427708402
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,0,1.0306122448979593,0.9999998598074429
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,1,1.0146938775510204,0.9999998598074429
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,5,1.019455782312925,0.9999998598074429
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,10,1.0348299319727894,0.9999998598074429
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,25,0.9429931972789118,0.9999998598074429
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,50,0.936326530612245,0.9999998598074429
rd_well_mixed,rd_well_mixed,default,False,0.1,0,1.0000000000000002,1.0000000000000002
rd_well_mixed,rd_well_mixed,default,False,0.1,1,1.0856428571428571,1.0856428571428571
rd_well_mixed,rd_well_mixed,default,False,0.1,5,1.2953463052709933,1.2953463052709933
rd_well_mixed,rd_well_mixed,default,False,0.1,10,1.3469070037704114,1.3469070037704114
rd_well_mixed,rd_well_mixed,default,False,0.1,25,1.381522025129157,1.381522025129157
rd_well_mixed,rd_well_mixed,default,False,0.1,50,1.3877500467159711,1.3877500467159711
