condition,update_rule,policy_prior_mode,learning_enabled,initial_cooperation_probability,revision_rate,seeds,cooperation_mean,cooperation_std,payoff_mean,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
fermi_imitation,fermi_imitation,default,False,0.1,0.1,3,0.056666666666666664,0.03511884584284246,2.0083333333333333,0.05635628104209894,0.043333333333333335,100.0
fermi_imitation,fermi_imitation,default,False,0.3,0.1,3,0.20000000000000004,0.08717797887081345,2.1,0.1961496124664942,0.12,100.0
fermi_imitation,fermi_imitation,default,False,0.5,0.1,3,0.35333333333333333,0.07094598884597587,2.266666666666667,0.3505809009075165,0.26666666666666666,100.0
fermi_imitation,fermi_imitation,default,False,0.6,0.1,3,0.47,0.19052558883257648,2.46,0.4753226041793823,0.3733333333333333,100.0
fermi_imitation,fermi_imitation,default,False,0.7,0.1,3,0.6366666666666666,0.2074447717666881,2.8433333333333337,0.6456857721010844,0.6266666666666666,100.0
fermi_imitation,fermi_imitation,default,False,0.9,0.1,3,0.9666666666666667,0.025166114784235843,3.8683333333333336,0.9666666785875956,0.9666666666666667,100.0
neural_default_learn,neural_policy,default,True,0.1,0.1,3,0.52,0.02645751311064593,2.34,0.43911366661389667,0.4633333333333334,100.0
neural_default_learn,neural_policy,default,True,0.3,0.1,3,0.5266666666666667,0.015275252316519477,2.358333333333333,0.4549229045708974,0.47000000000000003,100.0
neural_default_learn,neural_policy,default,True,0.5,0.1,3,0.5266666666666667,0.015275252316519477,2.358333333333333,0.46576250592867535,0.47000000000000003,100.0
neural_default_learn,neural_policy,default,True,0.6,0.1,3,0.5266666666666667,0.015275252316519477,2.358333333333333,0.4686502118905385,0.47000000000000003,100.0
neural_default_learn,neural_policy,default,True,0.7,0.1,3,0.5333333333333333,0.02081665999466135,2.361666666666667,0.4765927493572235,0.47666666666666674,100.0
neural_default_learn,neural_policy,default,True,0.9,0.1,3,0.5433333333333333,0.02081665999466135,2.3816666666666664,0.48394251863161714,0.4833333333333334,100.0
neural_default_no_learn,neural_policy,default,False,0.1,0.1,3,0.5433333333333333,0.04725815626252608,2.3866666666666667,0.5018094480037689,0.49666666666666665,100.0
neural_default_no_learn,neural_policy,default,False,0.3,0.1,3,0.5433333333333333,0.04725815626252608,2.3866666666666667,0.5018034180005392,0.49666666666666665,100.0
neural_default_no_learn,neural_policy,default,False,0.5,0.1,3,0.5433333333333333,0.04725815626252608,2.3866666666666667,0.5018007059892019,0.49666666666666665,100.0
neural_default_no_learn,neural_policy,default,False,0.6,0.1,3,0.5433333333333333,0.04725815626252608,2.3866666666666667,0.5018040041128794,0.49666666666666665,100.0
neural_default_no_learn,neural_policy,default,False,0.7,0.1,3,0.5466666666666666,0.04932882862316242,2.388333333333333,0.5018020570278168,0.5,100.0
neural_default_no_learn,neural_policy,default,False,0.9,0.1,3,0.5466666666666666,0.04932882862316242,2.388333333333333,0.5018135706583658,0.5,100.0
neural_match_p0_learn,neural_policy,match_p0,True,0.1,0.1,3,0.13,0.05,1.91,0.07769192506869631,0.02,100.0
neural_match_p0_learn,neural_policy,match_p0,True,0.3,0.1,3,0.3233333333333333,0.020816659994661344,1.9816666666666667,0.25257204473018646,0.07666666666666666,100.0
neural_match_p0_learn,neural_policy,match_p0,True,0.5,0.1,3,0.54,0.05567764362830026,2.345,0.475047081708908,0.4633333333333334,100.0
neural_match_p0_learn,neural_policy,match_p0,True,0.6,0.1,3,0.6366666666666667,0.051316014394468874,2.5483333333333333,0.5883194406827291,0.5966666666666667,100.0
neural_match_p0_learn,neural_policy,match_p0,True,0.7,0.1,3,0.7400000000000001,0.062449979983983925,2.91,0.7110649545987447,0.7366666666666667,100.0
neural_match_p0_learn,neural_policy,match_p0,True,0.9,0.1,3,0.9166666666666666,0.015275252316519468,3.598333333333333,0.9214454293251038,0.9166666666666666,100.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.1,0.1,3,0.15333333333333335,0.03214550253664318,1.8916666666666666,0.1000000014901161,0.02,100.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.3,0.1,3,0.36000000000000004,0.019999999999999997,2.03,0.3000000119209289,0.09333333333333334,100.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.5,0.1,3,0.5533333333333333,0.03785938897200184,2.376666666666667,0.5,0.4566666666666667,100.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.6,0.1,3,0.64,0.059999999999999984,2.58,0.6000000238418579,0.6266666666666666,100.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.7,0.1,3,0.73,0.04358898943540675,2.83,0.6999998688697815,0.7233333333333333,100.0
neural_match_p0_no_learn,neural_policy,match_p0,False,0.9,0.1,3,0.9033333333333333,0.011547005383792535,3.5416666666666665,0.8999999165534973,0.9033333333333333,100.0
rd_well_mixed,rd_well_mixed,default,False,0.1,0.1,1,1.5091079792956772e-16,,2.0,1.5091079792956772e-16,0.0,0.0
rd_well_mixed,rd_well_mixed,default,False,0.3,0.1,1,1.856478620481736e-15,,1.999999999999997,1.856478620481736e-15,0.0,0.0
rd_well_mixed,rd_well_mixed,default,False,0.5,0.1,1,4.8819338525160034e-14,,1.9999999999999023,4.8819338525160034e-14,0.0,0.0
rd_well_mixed,rd_well_mixed,default,False,0.6,0.1,1,2.111248601795015e-12,,1.9999999999957772,2.111248601795015e-12,0.0,0.0
rd_well_mixed,rd_well_mixed,default,False,0.7,0.1,1,0.9999889636644054,,3.999926426522439,0.9999889636644054,0.0,0.0
rd_well_mixed,rd_well_mixed,default,False,0.9,0.1,1,0.9999998932270588,,3.999999288180588,0.9999998932270588,0.0,0.0
