regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,learning_enabled,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
stag_hunt,stag_hunt,neural_policy,none,none,0.5,0.5,0.5,0.1,0.0,1.0,1.0,linear,False,3,0.5533333333333333,0.03785938897200184,2.376666666666667,0.08220908303425695,0.5,0.4566666666666667,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.5,0.5,0.5,0.1,0.0,1.0,1.0,linear,True,3,0.54,0.05567764362830026,2.345,0.11532562594670795,0.4750470817089081,0.4633333333333334,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.5,default,,0.1,0.0,1.0,1.0,linear,False,3,0.5433333333333333,0.04725815626252608,2.3866666666666667,0.1101514109457221,0.5018007059892019,0.49666666666666665,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.5,default,,0.1,0.0,1.0,1.0,linear,True,3,0.5266666666666667,0.015275252316519477,2.358333333333333,0.040722639076235315,0.46576250592867535,0.47000000000000003,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.5,match_p0,0.5,0.1,0.0,1.0,1.0,linear,False,3,0.5533333333333333,0.03785938897200184,2.376666666666667,0.08220908303425695,0.5,0.4566666666666667,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.5,match_p0,0.5,0.1,0.0,1.0,1.0,linear,True,3,0.54,0.05567764362830026,2.345,0.11532562594670795,0.4750470817089081,0.4633333333333334,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,0.5,0.5,0.1,0.0,1.0,1.0,linear,False,3,0.5533333333333333,0.03785938897200184,2.376666666666667,0.08220908303425695,0.5,0.4566666666666667,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,0.5,0.5,0.1,0.0,1.0,1.0,linear,True,3,0.54,0.05567764362830026,2.345,0.11532562594670795,0.47723222772280377,0.4633333333333334,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,default,,0.1,0.0,1.0,1.0,linear,False,3,0.5433333333333333,0.04725815626252608,2.3866666666666667,0.1101514109457221,0.5018040041128794,0.49666666666666665,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,default,,0.1,0.0,1.0,1.0,linear,True,3,0.5266666666666667,0.015275252316519477,2.358333333333333,0.040722639076235315,0.4686502118905385,0.47000000000000003,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,match_p0,0.6,0.1,0.0,1.0,1.0,linear,False,3,0.64,0.059999999999999984,2.58,0.13527749258468705,0.6000000238418579,0.6266666666666666,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,match_p0,0.6,0.1,0.0,1.0,1.0,linear,True,3,0.6366666666666667,0.051316014394468874,2.5483333333333333,0.1732291353477623,0.5883194406827291,0.5966666666666667,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,0.5,0.5,0.1,0.0,1.0,1.0,linear,False,3,0.5566666666666666,0.0416333199893226,2.3783333333333334,0.08504900548115386,0.5,0.45999999999999996,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,0.5,0.5,0.1,0.0,1.0,1.0,linear,True,3,0.5499999999999999,0.05567764362830026,2.365,0.1011187420807834,0.48286187648773193,0.5,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,default,,0.1,0.0,1.0,1.0,linear,False,3,0.5466666666666666,0.04932882862316242,2.388333333333333,0.11184066046538417,0.5018020570278168,0.5,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,default,,0.1,0.0,1.0,1.0,linear,True,3,0.5333333333333333,0.02081665999466135,2.361666666666667,0.03253203549323864,0.4765927493572235,0.47666666666666674,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,match_p0,0.7,0.1,0.0,1.0,1.0,linear,False,3,0.73,0.04358898943540675,2.83,0.20297783130184452,0.6999998688697815,0.7233333333333333,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,match_p0,0.7,0.1,0.0,1.0,1.0,linear,True,3,0.7400000000000001,0.062449979983983925,2.91,0.2787471972953274,0.7110649545987447,0.7366666666666667,100.0
