label,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,seeds,cooperation_mean,cooperation_std,policy_cooperation_mean,policy_cooperation_std,payoff_mean,payoff_std,local_loss_mean,revised_local_loss_mean,social_loss_mean,realized_revision_rate_mean
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,0,5,0.54,0.026457513110645915,0.5399999976158142,0.02645751603934801,2.321,0.0669328021227262,0.0,0.0,0.0,0.0
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,1,5,0.546,0.0403732584763727,0.529808646440506,0.028984995727397666,2.378,0.12622400722525004,0.0,0.0,0.0,0.21600000000000003
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,2,5,0.542,0.04919349550499537,0.5401625335216522,0.05591470363383495,2.415,0.1066536450385076,0.0,0.0,0.0,0.264
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,3,5,0.54,0.045825756949558406,0.5328298091888428,0.04916920154480214,2.432,0.09608589906953063,0.0,0.0,0.0,0.274
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,4,5,0.542,0.05449770637375483,0.5363259315490723,0.05103480024529367,2.466,0.11154595465546928,0.0,0.0,0.0,0.27
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,5,5,0.54,0.0595818764390649,0.5477818071842193,0.05694986751901519,2.456,0.12376388810957738,0.0,0.0,0.0,0.26
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,6,5,0.51,0.051478150704935034,0.5133590638637543,0.05496720588799989,2.411,0.13464768843169944,0.0,0.0,0.0,0.252
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,7,5,0.5,0.05431390245600111,0.5015178918838501,0.051802065106974396,2.409,0.1482986850919453,0.0,0.0,0.0,0.23399999999999999
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,8,5,0.49400000000000005,0.04774934554525331,0.4953141510486603,0.052803819672096276,2.403,0.12342001458434519,0.0,0.0,0.0,0.21400000000000002
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,9,5,0.492,0.046583258795408485,0.48754291534423827,0.05006984811167471,2.414,0.1407746426029915,0.0,0.0,0.0,0.252
