label,game_family,update_rule,mixer,peer_rule,policy_prior_mode,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,selection_strength,policy_temperature,payoff_transform,learning_enabled,epoch,p0_count,cooperation_slope,policy_cooperation_slope
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,0,5,1.0520000000000005,1.0519999980926524
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,1,5,1.0559999999999998,1.0861222743988044
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,2,5,1.0280000000000014,1.0745473861694346
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,3,5,1.004,0.9801436662673961
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,4,5,1.0000000000000007,0.9853752374649053
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,5,5,0.9880000000000011,0.993830752372743
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,6,5,1.0800000000000005,1.0821060776710512
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,7,5,1.1240000000000003,1.1129919290542611
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,8,5,1.1000000000000008,1.1051774978637703
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,9,5,1.0440000000000011,1.0898273587226872
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,10,5,1.0360000000000011,1.0232593417167675
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,11,5,0.9720000000000005,1.0356234192848217
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,12,5,1.024,1.0272010326385506
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,13,5,1.0000000000000004,1.0282959461212169
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,14,5,1.072000000000001,1.0412887454032906
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,15,5,1.0920000000000003,1.1133250236511238
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,16,5,1.104,1.0991262555122387
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,17,5,1.068000000000002,1.127512145042421
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,18,5,1.120000000000001,1.134274077415467
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,19,5,1.148000000000001,1.1400445818901075
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,20,5,1.1200000000000014,1.1512810111045841
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,21,5,1.144000000000001,1.1072509527206427
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,22,5,1.1280000000000012,1.165834641456604
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,23,5,1.140000000000001,1.1897968769073497
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,fermi_imitation,none,none,default,sampled_policy_gradient,spatial,spatial,0.25,1.0,1.0,linear,True,24,5,1.0960000000000005,1.1260373711586014
