regime,game_family,update_rule,mixer,peer_rule,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,learning_enabled,seeds,cooperation_mean,cooperation_std,payoff_mean,payoff_std,policy_cooperation_mean,cluster_fraction_mean,fragmentation_mean
stag_hunt,stag_hunt,fermi_imitation,none,none,0.55,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.442,0.12316655390161728,2.4579999999999997,0.24229630620378848,0.4456296294927597,0.418,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.6,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.46399999999999997,0.08532291603080616,2.481,0.20135168238681295,0.4687555909156799,0.44399999999999995,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.65,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.502,0.1136661779070626,2.5509999999999997,0.2822986007758452,0.5028954327106476,0.4880000000000001,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.7,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.632,0.10281050529979904,2.868,0.25958139378622647,0.634958666563034,0.632,100.0
stag_hunt,stag_hunt,fermi_imitation,none,none,0.75,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.708,0.1259761882261882,3.068,0.346853715563204,0.7062718033790588,0.708,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.096,0.06066300355241241,1.9789999999999999,0.04378926809162272,0.07783648297190666,0.046,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,True,5,0.012,0.013038404810405298,1.988,0.013038404810405326,0.009547212533652783,0.006,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,match_p0,0.6,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.146,0.06841052550594828,2.004,0.07266360849833983,0.13021481931209564,0.064,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.6,match_p0,0.6,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,True,5,0.054000000000000006,0.0433589667773576,1.952,0.03751666296460812,0.023254288360476494,0.014000000000000002,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.65,match_p0,0.65,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.326,0.09710818709048172,2.1719999999999997,0.17736262289445326,0.27510748207569125,0.21000000000000002,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.65,match_p0,0.65,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,True,5,0.146,0.09289779329994872,1.9259999999999997,0.026786190471957794,0.10561886429786682,0.026000000000000002,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,match_p0,0.7,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.576,0.14741099009232653,2.6870000000000003,0.3528916264237506,0.5317262530326843,0.526,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.7,match_p0,0.7,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,True,5,0.41200000000000003,0.17908098726553856,2.143,0.21347130954767662,0.36855442076921463,0.23400000000000004,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.75,match_p0,0.75,counterfactual_advantage,spatial,0.25,0.0,1.0,1.0,linear,True,5,0.78,0.08215838362577498,3.179,0.27233710727699245,0.7621870517730713,0.776,100.0
stag_hunt,stag_hunt,neural_policy,none,none,0.75,match_p0,0.75,counterfactual_advantage,well_mixed,0.25,0.0,1.0,1.0,linear,True,5,0.746,0.12157302332343302,2.934,0.39828381840089866,0.7250617742538452,0.72,100.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.55,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,1,2.075165676560021e-13,,1.9999999999995852,,2.075165676560021e-13,0.0,0.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.6,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,1,2.111248601795015e-12,,1.9999999999957774,,2.111248601795015e-12,0.0,0.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.65,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,1,8.437227860672078e-10,,1.9999999983125547,,8.437227860672078e-10,0.0,0.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.7,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,1,0.9999889636644054,,3.999926426522439,,0.9999889636644054,0.0,0.0
stag_hunt,stag_hunt,rd_well_mixed,none,none,0.75,default,,sampled_policy_gradient,spatial,0.25,0.0,1.0,1.0,linear,True,1,0.9999982914865468,,3.999988609960476,,0.9999982914865468,0.0,0.0
