toy,scenario,training_backend,resolved_training_backend,device,agent_count,epochs,seed,warmup_runs,repeats,seconds,seconds_std,seconds_min,seconds_max,epochs_per_second,epochs_per_second_std,agent_steps_per_second,agent_steps_per_second_std,final_action_rate,final_action_rate_std,final_mean_policy_action_probability,final_mean_policy_action_probability_std,final_mean_reputation,final_mean_reputation_std,loop_speedup,final_action_rate_diff_vs_loop,final_mean_policy_action_probability_diff_vs_loop,final_mean_reputation_diff_vs_loop,parity_passed_vs_loop,timing_make_run_dir_seconds,timing_write_metadata_seconds,timing_initial_state_seconds,timing_writer_setup_seconds,timing_initial_step_result_seconds,timing_initial_aggregate_row_seconds,timing_write_initial_aggregate_seconds,timing_sample_revision_mask_seconds,timing_hooked_step_total_seconds,timing_build_step_context_seconds,timing_local_step_seconds,timing_neural_context_peers_seconds,timing_build_observations_seconds,timing_policy_readout_seconds,timing_decision_selection_seconds,timing_local_training_seconds,timing_local_trainable_parameters_seconds,timing_local_loss_update_seconds,timing_local_loss_forward_seconds,timing_local_optimizer_update_seconds,timing_local_autograd_grad_seconds,timing_local_adam_update_seconds,timing_cache_refresh_seconds,timing_post_local_readout_seconds,timing_select_peers_seconds,timing_social_step_seconds,timing_social_distillation_seconds,timing_social_trainable_parameters_seconds,timing_social_loss_update_seconds,timing_social_mix_seconds,timing_social_loss_forward_seconds,timing_social_optimizer_update_seconds,timing_social_autograd_grad_seconds,timing_social_adam_update_seconds,timing_sample_actions_seconds,timing_commit_actions_seconds,timing_post_step_state_policy_seconds,timing_update_payoff_ema_seconds,timing_update_reputation_ema_seconds,timing_mobility_swaps_seconds,timing_finalize_hook_step_seconds,timing_aggregate_row_seconds,timing_write_aggregate_seconds,timing_write_micro_seconds,timing_make_run_dir_seconds_std,timing_write_metadata_seconds_std,timing_initial_state_seconds_std,timing_writer_setup_seconds_std,timing_initial_step_result_seconds_std,timing_initial_aggregate_row_seconds_std,timing_write_initial_aggregate_seconds_std,timing_sample_revision_mask_seconds_std,timing_hooked_step_total_seconds_std,timing_build_step_context_seconds_std,timing_local_step_seconds_std,timing_neural_context_peers_seconds_std,timing_build_observations_seconds_std,timing_policy_readout_seconds_std,timing_decision_selection_seconds_std,timing_local_training_seconds_std,timing_local_trainable_parameters_seconds_std,timing_local_loss_update_seconds_std,timing_local_loss_forward_seconds_std,timing_local_optimizer_update_seconds_std,timing_local_autograd_grad_seconds_std,timing_local_adam_update_seconds_std,timing_cache_refresh_seconds_std,timing_post_local_readout_seconds_std,timing_select_peers_seconds_std,timing_social_step_seconds_std,timing_social_distillation_seconds_std,timing_social_trainable_parameters_seconds_std,timing_social_loss_update_seconds_std,timing_social_mix_seconds_std,timing_social_loss_forward_seconds_std,timing_social_optimizer_update_seconds_std,timing_social_autograd_grad_seconds_std,timing_social_adam_update_seconds_std,timing_sample_actions_seconds_std,timing_commit_actions_seconds_std,timing_post_step_state_policy_seconds_std,timing_update_payoff_ema_seconds_std,timing_update_reputation_ema_seconds_std,timing_mobility_swaps_seconds_std,timing_finalize_hook_step_seconds_std,timing_aggregate_row_seconds_std,timing_write_aggregate_seconds_std,timing_write_micro_seconds_std
toy2,neural_output_average,loop,loop,cpu,1024,5,1,0,5,14.656390561209992,1.4063502472690315,13.024977424996905,16.50688259501476,0.3436558803836159,0.03274124688315357,351.90362151282267,33.52703680834926,0.361328125,0.0,0.32814648747444153,0.0,0.4755768847656251,0.0,1.0,0.0,0.0,0.0,True,0.00278395083732903,0.009417662210762501,1.325636611203663,0.0043328891973942515,0.01682653382886201,0.48010724638588725,0.0007374099921435117,0.0029712805058807134,10.107384816394188,0.0005606539314612746,5.524702424672432,0.00013780822046101094,0.017039890820160507,0.029229121073149143,0.008815909503027797,5.138129661185667,0.0,0.0,0.0,0.0,0.0,0.0,0.2904838523361832,0.028159102029167115,0.010974188172258436,4.525801299070008,4.5248518053907905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5938940234482287e-05,0.0001247815787792206,0.0009362459648400545,0.0011573043651878835,0.0004239950329065323,0.0007465553702786565,0.004733283584937453,2.217271082242951,0.0029456874122843145,0.0,0.0023563043760758792,0.0059594528270495726,1.3640188447266004,0.001369772799149704,0.012712075874912175,0.07801630186832093,0.0001920516180161022,0.0008149209078262034,0.5217802767782247,5.295241909502745e-05,0.3270783160928629,4.00495854597084e-05,0.005248531990468983,0.008227470384588266,0.0026508125117567375,0.25570739891584493,0.0,0.0,0.0,0.0,0.0,0.0,0.09263550160683129,0.006953507795966884,0.002499716643713061,0.23298635377332008,0.23302021892614766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.520712258243442e-06,1.119283715974501e-05,0.00017609390266425085,0.00017962799204201407,0.0001162235354201596,0.00017385565583706222,0.0004425259358101179,0.3089419299257886,0.0009685338413224011,0.0
toy2,neural_output_average,loop,loop,cuda,1024,5,1,0,5,18.46017357474193,9.013082208263787,10.43025711295195,32.47386577096768,0.32419721126916495,0.14468692868471872,331.9779443396249,148.15941497315197,0.353515625,0.0,0.327770471572876,0.0,0.47614862304687494,0.0,1.0,0.0,0.0,0.0,True,0.0008579010143876075,0.004349484597332776,1.1209229407832026,0.0012059265980497002,0.20948231341317297,0.266211679764092,0.0003248036140576005,0.001181111135520041,15.63271265286021,0.0002672259462997317,7.836234528780915,8.539140690118074e-05,0.010956739168614149,0.012697717384435236,0.17170469218399376,7.459254389815032,0.0,0.0,0.0,0.0,0.0,0.0,0.1601377634331584,0.011275110789574683,0.00803432180546224,7.759518017247319,7.758718021633103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63221813738346e-05,0.00012846183963119984,0.0005210124189034104,0.0006473427405580878,0.00025017359293997286,0.00039407918229699134,0.0035593644715845585,1.093032146198675,0.0014648133190348744,0.0,0.000820302704861169,0.0021397600145185948,0.5479152362085757,0.0010964390576356125,0.4580209692347319,0.17214562278866913,0.0002752412287253788,0.0012156789293970138,7.325460110986845,0.0001946985054495583,4.362992423761183,4.7014145386035344e-05,0.00767053167472528,0.008901472749965982,0.3728224652710838,3.8987854690885357,0.0,0.0,0.0,0.0,0.0,0.0,0.09583814536953304,0.01279037991385638,0.005487927675372262,3.986750983295932,3.9864554827999887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4596703432653426e-05,0.00010835500011599048,0.000470766659423184,0.0006792421323557465,0.00019396539921306963,0.0003527269670407325,0.002206425745930616,0.7040793082366984,0.0015119761652819261,0.0
toy2,neural_output_average,batched,batched,cpu,1024,5,1,0,5,2.1767973236273974,0.1230008954724787,2.039092268096283,2.3521566829876974,2.3027227314505816,0.12775788038781366,2357.9880770053956,130.8240695171212,0.361328125,0.0,0.3281477093696594,0.0,0.4755768847656251,0.0,6.733006514720765,0.0,1.2218952178955078e-06,0.0,True,0.0002465968020260334,0.0027575760148465635,0.46260228459723296,0.00044727455824613573,0.0022311476059257984,0.15890060574747622,0.0001716081751510501,0.0004053645767271519,0.7237856893334538,0.00012376902159303427,0.37190373947378247,3.0033010989427567e-05,0.004244938096962869,0.008543449942953885,0.002445376804098487,0.3445977739756927,0.0022086251759901644,0.34226836347952483,0.005585944838821888,0.2633347926195711,0.005882132588885725,0.25529461558908223,0.005326982703991234,0.003030891832895577,0.003598446422256529,0.3353868067031726,0.33530469639226795,0.0018848103703930975,0.3292684702202678,0.008937909151427448,0.002428610366769135,0.3173869985388592,0.005214332649484277,0.30995083022862674,7.706950418651104e-06,2.6965443976223468e-05,0.00020570699125528337,0.00021417511161416768,9.392257779836655e-05,0.00016129501163959504,0.0026484463596716523,0.7405312015907839,0.0007012268295511603,0.0,0.0001427846138258257,0.0007455603033436686,0.07609298580202911,6.42555759720868e-05,0.0001896981514108426,0.024100640577084723,8.183948965603973e-05,4.2577849718822224e-05,0.1014149962763168,2.1516498495949267e-05,0.016990142989616163,8.617224075964832e-06,0.00027970211469960165,0.0014505128578649468,0.0004961563347492534,0.016683017431659678,0.00013060259529045206,0.01666080673570627,0.0010374506594002962,0.006510346133385131,0.0005125283712694211,0.00628027641792259,0.0006024422214363266,0.0003171451196062877,0.0003227278277017487,0.08889436374016133,0.08888355286795678,0.00031158457561009437,0.0884115280247163,0.0006247974153218504,0.0006735756131894532,0.0877366503204675,0.0009564931310304743,0.08717902841430698,9.266757509615071e-07,6.192265927296477e-06,3.413237765230402e-05,5.9228497439012835e-05,1.9371871294440173e-05,3.748163737787772e-05,0.00043785132033568415,0.013706337275411882,0.00017674608208005578,0.0
toy2,neural_output_average,batched,batched,cuda,1024,5,1,0,5,2.942500236793421,0.10761725385679792,2.8388723869575188,3.0730727820191532,1.701035221371472,0.061525832218433996,1741.8600666843872,63.00245219167641,0.353515625,0.0,0.32777172327041626,0.0,0.47614862304687494,0.0,6.273635374404876,0.0,1.2516975402832031e-06,0.0,True,0.00027984799817204475,0.002676325826905668,0.6491669982206076,0.00046839239075779915,0.0026324122212827207,0.14593503882642836,0.00013659559190273284,0.0005345184355974198,1.3681595543865115,0.00014951920602470636,0.7053466156357899,5.997598636895418e-05,0.006902453536167741,0.0066809740383178,0.004074557893909514,0.6748423940269277,0.0007886756211519241,0.6737718608463183,0.0053335165604949,0.5060542644234374,0.006687575392425061,0.49663335918448864,0.00011841007508337498,0.004584426712244749,0.00492497484665364,0.6389638798078522,0.6387860180577263,0.0006556796375662089,0.6311789602274075,0.015346464421600103,0.002316341339610517,0.6126707931281998,0.004720643791370094,0.604704446811229,4.406580701470375e-05,6.166314706206322e-05,0.0002481670584529638,0.00029532297048717737,0.0001391448313370347,0.00020345021039247513,0.0028375538298860193,0.713080839207396,0.0007905668811872601,0.0,8.619652458530166e-05,0.00034925971695859046,0.11138732870908086,5.9224237533617274e-05,0.00039646281936314037,0.018985420634153958,5.886360335033687e-05,0.0001545875389761001,0.14740042234311057,2.9538038451191955e-05,0.09063539216675617,5.733811951612776e-06,0.0015826483038965272,0.0016922084500561139,0.0007990327396610807,0.08656143400950646,0.00023395893978835156,0.08649323333000543,0.00045999071199817506,0.08827824170264054,0.0009158992590136643,0.08732331410288705,1.7488838230267823e-05,0.0012000261216865064,0.0008142015248700072,0.10463401792000514,0.10461052118169503,0.00043439754108664743,0.10290082152094024,0.003760823071740511,0.0004556031055541067,0.10222503632772545,0.0011709090785660724,0.10095786536257564,9.579305978008243e-06,6.8101531805940645e-06,3.519219176637476e-05,5.247484875458182e-05,2.1631705073737127e-05,1.9723013053315777e-05,0.00027609733984115716,0.03647259449352096,0.00017029624066033932,0.0
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,5,1.7161347636021673,0.10282613880322088,1.557087667984888,1.8173589870566502,2.922247059593906,0.18217235389952968,2992.3809890241596,186.5444903931184,0.361328125,0.0,0.3281477093696594,0.0,0.4755768847656251,0.0,8.540349436454644,0.0,1.2218952178955078e-06,0.0,True,0.00021152000408619642,0.0025258855894207954,0.5798326014075428,0.0007567666238173842,0.004081410588696599,0.15521274702623486,0.00012817764654755593,0.0008403256535530091,0.14942137959878893,0.00013589137233793736,0.05625670282170177,3.4918542951345444e-05,0.007163049397058785,0.005876362789422274,0.0021538542583584785,0.03492056108079851,0.0026333406567573547,0.02931504843290895,0.004135733586736023,0.02508093595970422,0.006263427133671939,0.015000400226563215,2.0597176626324653e-05,0.0014978429535403848,0.004329498205333948,0.03339798219967634,0.03326721761841327,0.0018510444089770318,0.018820428242906927,0.010295974975451826,0.0020949108293280005,0.016649781004525722,0.004964534169994294,0.008643183205276728,4.963856190443039e-06,3.703495021909475e-05,0.0001933373510837555,0.0001713375560939312,0.00013720905408263207,0.000576417869888246,0.047431204142048954,0.7077307300409302,0.0007550039561465382,0.0,5.4540778047165056e-05,0.00015633031747231988,0.08220255662001286,0.00048819154552409423,0.0023178733457612276,0.014055845699249283,5.337437298999253e-05,0.00021665728637382888,0.06139075845204899,3.038961326760387e-05,0.010852628983066182,6.877982344755922e-06,0.0018332489172120394,0.0017265038064594874,0.0005926142182476615,0.00675577265604624,0.0009466843565595098,0.005323977216849235,0.0010734448801535041,0.004476072464988494,0.0005967853070632359,0.0029982992823864396,4.649122619685899e-06,0.00015544697879752985,0.000362256689341894,0.0036977199334698257,0.003678471398262717,0.0006697666533149521,0.002236719909951564,0.0010255225173160915,0.0003779834222405442,0.0020152691283418416,0.0012224931838556554,0.0015608778743606564,4.047380321505808e-07,4.384777026567459e-06,2.0813596784729977e-05,3.2380465003417734e-05,2.1490895838537658e-05,6.589737224510759e-05,0.05637578574398304,0.04626225934861221,0.000169220826417885,0.0
toy2,neural_output_average,tensor_batched,tensor_batched,cuda,1024,5,1,0,5,2.224418005021289,0.15169614546245894,2.0462989570805803,2.3987589590251446,2.2561120146177456,0.15286097614729482,2310.2587029685715,156.5296395748299,0.353515625,0.0,0.32777172327041626,0.0,0.47614862304687494,0.0,8.298877968561154,0.0,1.2516975402832031e-06,0.0,True,0.00035093738697469237,0.003381712571717799,0.8595767363905906,0.0006056955782696605,0.0029275274369865655,0.14967962983064353,0.00022022859193384647,0.0010621814290061593,0.21985535519197583,0.00019966764375567436,0.05323518116492778,7.429705001413823e-05,0.008715228596702217,0.00511511939112097,0.004483511345461011,0.02509617020841688,0.001368782646022737,0.01931684121955186,0.004107670765370131,0.015020850952714682,0.0086072243982926,0.005170429428108037,5.4063228890299794e-05,0.0019757459638640286,0.005383598455227912,0.02864886582829058,0.028445397177711128,0.000552456802688539,0.010241870488971471,0.01485097964759916,0.001810422190465033,0.008265122422017157,0.0029220829484984277,0.003511317237280309,3.985760267823935e-05,8.667279034852981e-05,0.0002495783381164074,0.0003669836558401585,0.0003180158091709018,0.0032220831140875815,0.11720203934237361,0.7309270152589307,0.0009364085970446467,0.0,0.00013672266082632282,0.0009697894636632556,0.11320682870152553,0.00014986316578217366,0.0005655431523778498,0.01707985992314864,9.031861114672729e-05,0.00022292295728589613,0.024979642579975855,5.001944984084864e-05,0.01319615090799502,1.83858770264957e-05,0.0023008319585824852,0.0010614597058726933,0.00270612900196021,0.005428983515297526,0.0008944216800747665,0.004291036806332276,0.0011564837907246926,0.0035806528226925913,0.0025713871875314154,0.000941959908816382,1.7387070431901974e-05,0.00043759873177894704,0.0007535851576008064,0.007493964861585345,0.007453714111947649,0.0004921111544286286,0.0016650725975346787,0.005567138902220815,0.00019456468656415922,0.0014767706610412734,0.000817242541517676,0.0006898425855221726,5.336914184546378e-06,1.4277662909586833e-05,5.517614418410912e-05,7.638714603372912e-05,8.418243079912843e-05,0.0009972026095556841,0.007323364117128087,0.05945109797937612,0.00044717588406959874,0.0
toy2,neural_output_average,loop,loop,cpu,2048,5,1,0,5,15.475582012208179,0.36013691654220803,15.036862274049781,15.943995415931568,0.32322919684496265,0.007498021405606017,661.9733951384835,15.355947838681123,0.37744140625,0.0,0.32488155364990234,0.0,0.4719196972656251,0.0,1.0,0.0,0.0,0.0,True,0.0002666326006874442,0.0032065573846921324,0.9471628110390157,0.0006629446521401406,0.004403370805084706,0.7039090869948268,0.00018499738071113824,0.0006337844301015138,10.103599640959875,0.00012510104570537806,5.512967758043669,3.126540686935186e-05,0.00642307261005044,0.0102542590117082,0.002802649326622486,5.250692545017228,0.0,0.0,0.0,0.0,0.0,0.0,0.23084386179689317,0.008237798186019062,0.006823783996514976,4.565704933251254,4.565484267589636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.72263514995575e-06,3.2175215892493725e-05,0.0002275182167068124,0.00037644023541361094,0.0001413205871358514,0.00016921982169151306,0.003868321352638304,3.5540348172653466,0.0006351452087983489,0.0,9.4618838962506e-05,0.0008999549391300026,0.11580749196625033,0.0003180521422712276,0.0012331763231393205,0.06165660462886357,7.437460853295745e-05,0.00021772376778150937,0.2262006314107933,4.555043889130478e-05,0.12711025602298592,6.434330188862383e-06,0.0026721008770782375,0.0029422545796070664,0.00039663113096132305,0.11158946338712306,0.0,0.0,0.0,0.0,0.0,0.0,0.031593468750650756,0.0024230229532133944,0.0006780321505866592,0.1660156873358777,0.16604212337998328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617086290440864e-07,1.0521759257344096e-05,4.732849358330046e-05,6.873236163743412e-05,3.4434874728742946e-05,3.184177432921539e-05,0.00019840059819783266,0.17000746620774987,7.461250716408151e-05,0.0
toy2,neural_output_average,loop,loop,cuda,2048,5,1,0,5,23.648646656610072,0.8704568100182891,22.544795657973737,24.932278126012534,0.2116558578679287,0.007723073476058092,433.471196913518,15.816854478966972,0.3515625,0.0,0.32616958022117615,0.0,0.4653954492187501,0.0,1.0,0.0,0.0,0.0,True,0.0004726688377559185,0.0029099615756422283,1.2644797229673714,0.0005938245914876461,0.004003526386804878,0.7022564994636923,0.00014756061136722565,0.0005942252231761813,18.316488095838576,0.00013496002648025752,10.06622458633501,5.2345381118357184e-05,0.006757872342132032,0.006416903552599251,0.0043589082080870865,9.827502552838997,0.0,0.0,0.0,0.0,0.0,0.0,0.21094304898288102,0.0040886721573770044,0.007498406432569027,8.224237584578805,8.223980696755461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.124615807086229e-05,6.299198139458895e-05,0.00024082448799163104,0.00039538098499178884,0.000165837281383574,0.0001872960478067398,0.004128377651795745,3.1472596012055876,0.000636780564673245,0.0,0.00021652748213225827,0.0003762330355875731,0.09694227917876097,0.00018332779378288835,0.0008904857149155607,0.10532747522039686,5.858269575653198e-05,0.00012968775401402897,0.8463747001032623,2.0387930633121526e-05,0.2293998631556668,7.061254586819392e-06,0.0008959121071575647,0.0009388314579469392,0.0005109095131646936,0.21738428248008632,0.0,0.0,0.0,0.0,0.0,0.0,0.022101181884391766,0.0011954009429269985,0.0011123946473153906,0.7112327871698642,0.7112143903611833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3438473408071566e-06,9.790575625491597e-06,5.685861410466271e-05,7.592839990551275e-05,3.469948952174796e-05,5.434160811616505e-05,0.0005411135024450336,0.18781342812053434,8.626662218326681e-05,0.0
toy2,neural_output_average,batched,batched,cpu,2048,5,1,0,5,6.972681633010507,0.7382960212127428,6.263589423964731,8.193054086063057,0.7230619480549687,0.0708014001943827,1480.830869616576,145.00126759809578,0.37744140625,0.0,0.32488277554512024,0.0,0.4719196972656251,0.0,2.2194591445194782,0.0,1.2218952178955078e-06,0.0,True,0.00042080795392394064,0.003189330594614148,1.0258096752222627,0.0010252711828798056,0.005748962564393878,0.636528316186741,0.00012402355205267667,0.0006315641570836305,1.988940267637372,0.00012000012211501598,1.1030077876290307,3.0335783958435058e-05,0.005958007974550128,0.011673185299150646,0.0029727166285738347,1.0688374740304425,0.0038360031554475426,1.0648153144633397,0.007952845352701843,0.8386241334257647,0.007980425981804729,0.8268598539289087,5.356213077902794e-05,0.007533535826951265,0.008362547378055751,0.8549316886346787,0.8548340169480071,0.0030107167549431324,0.8420555538730696,0.016499307425692677,0.005023541185073555,0.8197137878509239,0.046182444761507215,0.7688285856507718,9.600282646715641e-06,3.748585004359484e-05,0.0002528820186853409,0.00048784096725285053,0.00017048188019543886,0.00020014634355902672,0.004767949599772692,3.1982595719164237,0.0008029357763007283,0.0,0.0001971960280635746,0.0006870607001057209,0.15444161732493994,0.0003809639806599624,0.0010212082517899934,0.03838211418401908,2.4310408935338316e-05,0.00011820884626384328,0.33187608187056744,2.2830403782560786e-05,0.14862725659651865,4.130984187253412e-06,0.0007897939247864684,0.0030011941960080744,0.0004350629441876552,0.14281800985620316,0.00018577745899418224,0.14279239281296324,0.0014233460893349993,0.17112290684929327,0.0010073657618887258,0.17021047737861703,1.3080005508060234e-05,0.0022167615568622866,0.0015791617462233808,0.2481767881959655,0.24816316659910334,0.0007682741841698532,0.24434081375336858,0.002642012721312839,0.002711488627230886,0.23947532886339018,0.08324387563466454,0.25534342822063755,2.466888022734715e-06,8.431074498863963e-06,5.8987185705803867e-05,0.00023463409720827857,6.6887393772457e-05,6.523270920320711e-05,0.0004663462829071736,0.25621699507599044,0.00022583097935918964,0.0
toy2,neural_output_average,batched,batched,cuda,2048,5,1,0,5,7.441335574793629,0.12944018262978554,7.266075231018476,7.622345466981642,0.6720849456701034,0.011682985908984493,1376.4299687323717,23.926755141600243,0.3515625,0.0,0.32617083191871643,0.0,0.4653954492187501,0.0,3.1780110463928275,0.0,1.2516975402832031e-06,0.0,True,0.0002894359873607755,0.0028071157867088914,1.2574207621859386,0.0005635051755234599,0.004249020805582404,0.5728247558232397,0.0001398296095430851,0.000499777845107019,2.639578702207655,0.0001222236081957817,1.482531214924529,9.183164220303298e-05,0.006866063852794468,0.005952537083067,0.0037352283485233783,1.4537009943975137,0.0007134857820346952,1.4527207925682888,0.004201390920206905,1.1065027425996958,0.005871364823542535,1.097160775703378,0.00010008998215198517,0.003804838750511408,0.008058488392271102,1.1278508081566543,1.127691616420634,0.000475896755233407,1.1206657249480485,0.019045641808770598,0.002329868800006807,1.0984416086226703,0.004518286581151188,1.0864494769601152,3.916020505130291e-05,5.6138448417186734e-05,0.00022288481704890728,0.00037929494865238664,0.00017658157739788293,0.00021320306695997714,0.004276428651064634,2.846458726236597,0.0006316268350929022,0.0,6.0043694378591485e-05,0.0004202654143335047,0.10557852477290325,0.00017140970185737316,0.001194598205132433,0.01566604644149408,3.194550728987528e-05,2.4801793720609886e-05,0.14506252368054615,1.3680091253200605e-05,0.10853695602889497,8.254651588852263e-05,0.000818507733807962,0.0008432908408291996,0.0005806101380514534,0.10914020365333323,0.00026764932025616334,0.10904476881257683,0.0005740211234381923,0.13898425883456972,0.0006197814694705987,0.1385917825419161,7.1838064475797245e-06,0.0004980823957917083,0.0006649943802649171,0.1587481764416601,0.158753200023385,8.191480028504535e-05,0.15919721563326364,0.0025758386478856666,0.0006672558121497859,0.1591199141536557,0.0009646985648669506,0.15728314298590476,2.409461559473169e-06,4.070357782934641e-06,3.137113428084879e-05,3.446960151475383e-05,8.096070567470306e-06,6.613259599396494e-05,0.00020880413761818097,0.049469017612514765,4.934897821363395e-05,0.0
