device,agent_count,backend,mixer,stage,prealloc_init_median_seconds,aggregate_cluster_opt_median_seconds,speedup
cpu,1024,tensor_batched,output_average,initial_aggregate_row,0.005235631,0.002346866,2.230903
cpu,1024,tensor_batched,output_average,aggregate_row,0.004351101,0.001187615,3.663730
cpu,1024,tensor_batched,output_average,hooked_step_total,0.007436299,0.007384971,1.006950
cpu,1024,tensor_batched,output_average,initial_state,0.287382435,0.295521764,0.972458
cpu,1024,tensor_batched,output_average,local_step,0.003866110,0.004096477,0.943765
cpu,1024,tensor_batched,output_average,social_step,0.003066302,0.002912530,1.052797
cpu,2048,tensor_batched,output_average,initial_aggregate_row,0.010413452,0.004230501,2.461517
cpu,2048,tensor_batched,output_average,aggregate_row,0.008607794,0.002072815,4.152707
cpu,2048,tensor_batched,output_average,hooked_step_total,0.011446854,0.011162752,1.025451
cpu,2048,tensor_batched,output_average,initial_state,0.420055071,0.426844581,0.984094
cpu,2048,tensor_batched,output_average,local_step,0.006117436,0.005372219,1.138717
cpu,2048,tensor_batched,output_average,social_step,0.004522788,0.004453725,1.015507
cuda,1024,tensor_batched,output_average,initial_aggregate_row,0.006293690,0.002885027,2.181501
cuda,1024,tensor_batched,output_average,aggregate_row,0.004568374,0.001508023,3.029380
cuda,1024,tensor_batched,output_average,hooked_step_total,0.006748814,0.007529385,0.896330
cuda,1024,tensor_batched,output_average,initial_state,0.212099214,0.218440704,0.970969
cuda,1024,tensor_batched,output_average,local_step,0.003483063,0.003342686,1.041995
cuda,1024,tensor_batched,output_average,social_step,0.002059921,0.002256033,0.913072
cuda,2048,tensor_batched,output_average,initial_aggregate_row,0.012788361,0.004250670,3.008552
cuda,2048,tensor_batched,output_average,aggregate_row,0.012198982,0.002357336,5.174902
cuda,2048,tensor_batched,output_average,hooked_step_total,0.009145715,0.007710649,1.186115
cuda,2048,tensor_batched,output_average,initial_state,0.443504433,0.420668726,1.054284
cuda,2048,tensor_batched,output_average,local_step,0.004778493,0.003367162,1.419146
cuda,2048,tensor_batched,output_average,social_step,0.002726637,0.002183234,1.248898
