device,agent_count,backend,mixer,stage,social_static_opt_median_seconds,direct_init_opt_median_seconds,speedup
cpu,1024,tensor_batched,output_average,initial_state,0.506078804,0.305803889,1.654913
cpu,1024,tensor_batched,output_average,initial_step_result,0.002400812,0.002631358,0.912385
cpu,1024,tensor_batched,output_average,initial_aggregate_row,0.004989962,0.005845051,0.853707
cpu,1024,tensor_batched,output_average,hooked_step_total,0.005898769,0.008054217,0.732383
cpu,1024,tensor_batched,output_average,local_step,0.003073540,0.004308724,0.713330
cpu,1024,tensor_batched,output_average,social_step,0.002379141,0.002985660,0.796856
cpu,1024,tensor_batched,output_average,aggregate_row,0.004371296,0.004766513,0.917085
cpu,2048,tensor_batched,output_average,initial_state,0.771968888,0.496484165,1.554871
cpu,2048,tensor_batched,output_average,initial_step_result,0.003050377,0.005731225,0.532238
cpu,2048,tensor_batched,output_average,initial_aggregate_row,0.009520520,0.011014839,0.864336
cpu,2048,tensor_batched,output_average,hooked_step_total,0.008191215,0.016452888,0.497859
cpu,2048,tensor_batched,output_average,local_step,0.004378529,0.010033826,0.436377
cpu,2048,tensor_batched,output_average,social_step,0.003212484,0.005643328,0.569253
cpu,2048,tensor_batched,output_average,aggregate_row,0.008687898,0.011822453,0.734864
cuda,1024,tensor_batched,output_average,initial_state,0.540145240,0.223765528,2.413889
cuda,1024,tensor_batched,output_average,initial_step_result,0.002146689,0.001683317,1.275273
cuda,1024,tensor_batched,output_average,initial_aggregate_row,0.005006203,0.005940142,0.842775
cuda,1024,tensor_batched,output_average,hooked_step_total,0.006976237,0.006383914,1.092784
cuda,1024,tensor_batched,output_average,local_step,0.003529917,0.003146736,1.121771
cuda,1024,tensor_batched,output_average,social_step,0.002070394,0.001987615,1.041647
cuda,1024,tensor_batched,output_average,aggregate_row,0.004700381,0.004757796,0.987932
cuda,2048,tensor_batched,output_average,initial_state,1.060868630,0.458214062,2.315225
cuda,2048,tensor_batched,output_average,initial_step_result,0.003395963,0.003077214,1.103584
cuda,2048,tensor_batched,output_average,initial_aggregate_row,0.010217094,0.010273131,0.994545
cuda,2048,tensor_batched,output_average,hooked_step_total,0.008171257,0.007187290,1.136904
cuda,2048,tensor_batched,output_average,local_step,0.004358311,0.003727709,1.169166
cuda,2048,tensor_batched,output_average,social_step,0.002199329,0.002104296,1.045161
cuda,2048,tensor_batched,output_average,aggregate_row,0.009476757,0.009368733,1.011530
