device,agent_count,backend,mixer,stage,aggregate_cluster_opt_median_seconds,generator_init_opt_median_seconds,speedup
cpu,1024,tensor_batched,output_average,initial_state,0.295521764,0.024631170,11.997878
cpu,1024,tensor_batched,output_average,initial_aggregate_row,0.002346866,0.002439461,0.962043
cpu,1024,tensor_batched,output_average,aggregate_row,0.001187615,0.001293656,0.918030
cpu,1024,tensor_batched,output_average,hooked_step_total,0.007384971,0.010940589,0.675007
cpu,1024,tensor_batched,output_average,local_step,0.004096477,0.005107546,0.802044
cpu,1024,tensor_batched,output_average,social_step,0.002912530,0.004811465,0.605331
cpu,1024,tensor_batched,output_average,initial_step_result,0.003235523,0.003102119,1.043004
cpu,2048,tensor_batched,output_average,initial_state,0.426844581,0.056893888,7.502468
cpu,2048,tensor_batched,output_average,initial_aggregate_row,0.004230501,0.005389351,0.784974
cpu,2048,tensor_batched,output_average,aggregate_row,0.002072815,0.003003962,0.690027
cpu,2048,tensor_batched,output_average,hooked_step_total,0.011162752,0.024186426,0.461530
cpu,2048,tensor_batched,output_average,local_step,0.005372219,0.015151223,0.354573
cpu,2048,tensor_batched,output_average,social_step,0.004453725,0.008125986,0.548084
cpu,2048,tensor_batched,output_average,initial_step_result,0.004445940,0.009445352,0.470701
cuda,1024,tensor_batched,output_average,initial_state,0.218440704,0.027161824,8.042196
cuda,1024,tensor_batched,output_average,initial_aggregate_row,0.002885027,0.002669317,1.080811
cuda,1024,tensor_batched,output_average,aggregate_row,0.001508023,0.002169118,0.695224
cuda,1024,tensor_batched,output_average,hooked_step_total,0.007529385,0.011154786,0.674991
cuda,1024,tensor_batched,output_average,local_step,0.003342686,0.005949615,0.561832
cuda,1024,tensor_batched,output_average,social_step,0.002256033,0.003049810,0.739729
cuda,1024,tensor_batched,output_average,initial_step_result,0.002652025,0.003382381,0.784070
cuda,2048,tensor_batched,output_average,initial_state,0.420668726,0.060049840,7.005326
cuda,2048,tensor_batched,output_average,initial_aggregate_row,0.004250670,0.006975692,0.609355
cuda,2048,tensor_batched,output_average,aggregate_row,0.002357336,0.003913770,0.602318
cuda,2048,tensor_batched,output_average,hooked_step_total,0.007710649,0.018172869,0.424295
cuda,2048,tensor_batched,output_average,local_step,0.003367162,0.009655781,0.348720
cuda,2048,tensor_batched,output_average,social_step,0.002183234,0.004825130,0.452472
cuda,2048,tensor_batched,output_average,initial_step_result,0.004000185,0.015540532,0.257403
