toy,scenario,training_backend,resolved_training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,0,neural_policy,output_average,make_run_dir,0.00032419594936072826
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,0,neural_policy,output_average,write_metadata,0.003640722017735243
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_state,0.03853105800226331
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,0,neural_policy,output_average,writer_setup,0.002284347079694271
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_step_result,0.007971554063260555
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_aggregate_row,0.0030154549749568105
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,0,neural_policy,output_average,write_initial_aggregate,9.243597742170095e-05
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,sample_revision_mask,3.559701144695282e-05
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,build_step_context,6.142701022326946e-05
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,neural_context_peers,2.635002601891756e-05
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,build_observations,0.0004117019707337022
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,policy_readout,0.0009162400383502245
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,decision_selection,0.0006535099819302559
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_trainable_parameters,0.0007105389377102256
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_loss_forward,0.0019263969734311104
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_autograd_grad,0.003242245060391724
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_adam_update,0.005861707963049412
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_optimizer_update,0.009557363926433027
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_loss_update,0.011499220971018076
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_training,0.01280402799602598
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,cache_refresh,3.776978701353073e-06
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,post_local_readout,0.0002991979708895087
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_step,0.01584355696104467
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,select_peers,1.1933036148548126e-05
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_mix,0.0006263990653678775
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_trainable_parameters,0.0003441539593040943
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_loss_forward,0.0004931060830131173
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_autograd_grad,0.0009545220527797937
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_adam_update,0.002313460921868682
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_optimizer_update,0.0033263349905610085
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_loss_update,0.00383424898609519
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_distillation,0.005269574001431465
toy2,neural_output_average,tensor_batched,tensor_batched,cpu,1024,5,1,0,0,5,toy2_gpu_core_neural_output_average_tensor_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_step,0.005301804980263114
