device,agent_count,backend,mixer,stage,finalize_opt_median_seconds,initial_opt_median_seconds,speedup
cpu,1024,tensor_batched,output_average,initial_state,1.210199643,0.918639319,1.317383
cpu,1024,tensor_batched,output_average,initial_step_result,0.006120616,0.009141536,0.669539
cpu,1024,tensor_batched,output_average,initial_aggregate_row,0.010079111,0.012245200,0.823107
cpu,1024,tensor_batched,output_average,hooked_step_total,0.017916188,0.022458386,0.797750
cpu,1024,tensor_batched,output_average,finalize_hook_step,0.000021080,0.000022025,0.957097
cpu,1024,tensor_batched,output_average,aggregate_row,0.006281190,0.008049995,0.780273
cpu,2048,tensor_batched,output_average,initial_state,2.392417177,1.026184366,2.331372
cpu,2048,tensor_batched,output_average,initial_step_result,0.009968572,0.006230056,1.600077
cpu,2048,tensor_batched,output_average,initial_aggregate_row,0.015530664,0.021082171,0.736673
cpu,2048,tensor_batched,output_average,hooked_step_total,0.039069430,0.024201794,1.614320
cpu,2048,tensor_batched,output_average,finalize_hook_step,0.000024667,0.000016624,1.483810
cpu,2048,tensor_batched,output_average,aggregate_row,0.014213337,0.011988222,1.185608
cuda,1024,tensor_batched,output_average,initial_state,1.091976469,0.765622084,1.426260
cuda,1024,tensor_batched,output_average,initial_step_result,0.003970487,0.005951443,0.667147
cuda,1024,tensor_batched,output_average,initial_aggregate_row,0.009231601,0.011145138,0.828307
cuda,1024,tensor_batched,output_average,hooked_step_total,0.016756329,0.017069488,0.981654
cuda,1024,tensor_batched,output_average,finalize_hook_step,0.000026821,0.000029400,0.912277
cuda,1024,tensor_batched,output_average,aggregate_row,0.006438056,0.006897048,0.933451
cuda,2048,tensor_batched,output_average,initial_state,2.761703947,1.722813536,1.603020
cuda,2048,tensor_batched,output_average,initial_step_result,0.007914113,0.007961927,0.993995
cuda,2048,tensor_batched,output_average,initial_aggregate_row,0.018209062,0.023476438,0.775631
cuda,2048,tensor_batched,output_average,hooked_step_total,0.025749529,0.037385521,0.688757
cuda,2048,tensor_batched,output_average,finalize_hook_step,0.000040987,0.000048790,0.840068
cuda,2048,tensor_batched,output_average,aggregate_row,0.016533017,0.023394226,0.706714
