device,agent_count,backend,mixer,stage,initial_opt_median_seconds,social_static_opt_median_seconds,speedup
cpu,1024,tensor_batched,output_average,select_peers,0.000692499,0.000002475,279.798730
cpu,1024,tensor_batched,output_average,social_step,0.008250976,0.002379141,3.468048
cpu,1024,tensor_batched,output_average,social_distillation,0.008224903,0.002367528,3.474047
cpu,1024,tensor_batched,output_average,social_mix,0.002145547,0.000231951,9.250001
cpu,1024,tensor_batched,output_average,social_trainable_parameters,0.000350448,0.000069703,5.027735
cpu,1024,tensor_batched,output_average,social_loss_update,0.004816946,0.001702245,2.829761
cpu,1024,tensor_batched,output_average,social_optimizer_update,0.004174114,0.001471607,2.836433
cpu,1024,tensor_batched,output_average,social_adam_update,0.002750619,0.000863611,3.185021
cpu,1024,tensor_batched,output_average,hooked_step_total,0.022458386,0.005898769,3.807300
cpu,1024,tensor_batched,output_average,local_step,0.010634905,0.003073540,3.460149
cpu,2048,tensor_batched,output_average,select_peers,0.001190403,0.000002585,460.503670
cpu,2048,tensor_batched,output_average,social_step,0.009697681,0.003212484,3.018748
cpu,2048,tensor_batched,output_average,social_distillation,0.009680846,0.003201564,3.023787
cpu,2048,tensor_batched,output_average,social_mix,0.003548664,0.000310820,11.417101
cpu,2048,tensor_batched,output_average,social_trainable_parameters,0.000376259,0.000164723,2.284192
cpu,2048,tensor_batched,output_average,social_loss_update,0.005457294,0.002313747,2.358639
cpu,2048,tensor_batched,output_average,social_optimizer_update,0.004677560,0.002001132,2.337457
cpu,2048,tensor_batched,output_average,social_adam_update,0.003068592,0.001267038,2.421863
cpu,2048,tensor_batched,output_average,hooked_step_total,0.024201794,0.008191215,2.954604
cpu,2048,tensor_batched,output_average,local_step,0.010773667,0.004378529,2.460568
cuda,1024,tensor_batched,output_average,select_peers,0.000970517,0.000009278,104.603353
cuda,1024,tensor_batched,output_average,social_step,0.006229974,0.002070394,3.009077
cuda,1024,tensor_batched,output_average,social_distillation,0.006186625,0.002046329,3.023280
cuda,1024,tensor_batched,output_average,social_mix,0.003018104,0.000415400,7.265536
cuda,1024,tensor_batched,output_average,social_trainable_parameters,0.000089634,0.000053322,1.680996
cuda,1024,tensor_batched,output_average,social_loss_update,0.002445785,0.001211332,2.019087
cuda,1024,tensor_batched,output_average,social_optimizer_update,0.001939319,0.000956708,2.027075
cuda,1024,tensor_batched,output_average,social_adam_update,0.000823837,0.000530127,1.554037
cuda,1024,tensor_batched,output_average,hooked_step_total,0.017069488,0.006976237,2.446804
cuda,1024,tensor_batched,output_average,local_step,0.007402930,0.003529917,2.097197
cuda,2048,tensor_batched,output_average,select_peers,0.002433859,0.000009658,252.006244
cuda,2048,tensor_batched,output_average,social_step,0.013597320,0.002199329,6.182485
cuda,2048,tensor_batched,output_average,social_distillation,0.013514691,0.002174732,6.214417
cuda,2048,tensor_batched,output_average,social_mix,0.008029588,0.000433173,18.536676
cuda,2048,tensor_batched,output_average,social_trainable_parameters,0.000133301,0.000056107,2.375838
cuda,2048,tensor_batched,output_average,social_loss_update,0.004633650,0.001238935,3.740027
cuda,2048,tensor_batched,output_average,social_optimizer_update,0.003501049,0.000958250,3.653586
cuda,2048,tensor_batched,output_average,social_adam_update,0.001275352,0.000526391,2.422823
cuda,2048,tensor_batched,output_average,hooked_step_total,0.037385521,0.008171257,4.575247
cuda,2048,tensor_batched,output_average,local_step,0.013976544,0.004358311,3.206872
