toy,scenario,training_backend,resolved_training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,0,neural_policy,output_average,make_run_dir,0.0003596079768612981
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,0,neural_policy,output_average,write_metadata,0.0024964259937405586
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,0,neural_policy,output_average,initial_state,0.14097959210630506
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,0,neural_policy,output_average,writer_setup,0.001046040910296142
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,0,neural_policy,output_average,initial_step_result,0.005576387979090214
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,0,neural_policy,output_average,initial_aggregate_row,0.004205535049550235
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,0,neural_policy,output_average,write_initial_aggregate,7.396203000098467e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,sample_revision_mask,2.0088045857846737e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,build_step_context,5.1299575716257095e-06
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,build_observations,0.002087743952870369
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,policy_readout,0.00041955302003771067
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,decision_selection,0.002002872060984373
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,local_trainable_parameters,0.00012569106183946133
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,local_loss_forward,0.0019861800828948617
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,local_autograd_grad,0.0013619759120047092
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,local_adam_update,0.006997044896706939
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,local_optimizer_update,0.008588489959947765
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,local_loss_update,0.026162820984609425
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,local_training,0.026315873954445124
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,cache_refresh,1.119193620979786e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,post_local_readout,0.0002612000098451972
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,local_step,0.03154914500191808
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,select_peers,5.743897054344416e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_trainable_parameters,3.54469520971179e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_mix,0.00036130205262452364
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_loss_forward,0.00024259404744952917
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_autograd_grad,0.0005450029857456684
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_adam_update,0.012613750994205475
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_optimizer_update,0.01329114695545286
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_loss_update,0.013947802945040166
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_distillation,0.014445915934629738
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,social_step,0.014456997043453157
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,sample_actions,1.8229475244879723e-06
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,commit_actions,1.0590068995952606e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,post_step_state_policy,5.1668030209839344e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,update_payoff_ema,4.24310564994812e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,update_reputation_ema,1.7473939806222916e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,mobility_swaps,4.1239080019295216e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,finalize_hook_step,1.8625985831022263e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,hooked_step_total,0.0475360790733248
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,aggregate_row,0.003037741989828646
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,1,neural_policy,output_average,write_aggregate,0.0001289770007133484
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,sample_revision_mask,2.915598452091217e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,build_step_context,1.0019051842391491e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,build_observations,0.0026549689937382936
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,policy_readout,0.00036096107214689255
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,decision_selection,0.0017657079733908176
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,local_trainable_parameters,0.0004557820502668619
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,local_loss_forward,0.0009667399572208524
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,local_autograd_grad,0.001159367966465652
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,local_adam_update,0.006344467983581126
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,local_optimizer_update,0.007703147013671696
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,local_loss_update,0.008817969006486237
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,local_training,0.009317505056969821
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,cache_refresh,1.119193620979786e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,post_local_readout,0.0002468220191076398
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,local_step,0.014755969052203
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,select_peers,0.00011483998969197273
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_trainable_parameters,7.914099842309952e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_mix,0.000505817006342113
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_loss_forward,0.0002668610541149974
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_autograd_grad,0.0004625850124284625
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_adam_update,0.013714015949517488
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_optimizer_update,0.014417211059480906
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_loss_update,0.015274430974386632
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_distillation,0.01627602707594633
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,social_step,0.016296346089802682
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,sample_actions,1.301988959312439e-06
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,commit_actions,6.6320644691586494e-06
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,post_step_state_policy,5.444500129669905e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,update_payoff_ema,3.9204955101013184e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,update_reputation_ema,1.7964979633688927e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,mobility_swaps,3.0809082090854645e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,finalize_hook_step,1.1372030712664127e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,hooked_step_total,0.03283918299712241
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,aggregate_row,0.0025651779724285007
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,2,neural_policy,output_average,write_aggregate,6.533495616167784e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,sample_revision_mask,1.1943047866225243e-05
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,build_step_context,5.270005203783512e-06
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,build_observations,0.0023959930986166
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,policy_readout,0.0002715489827096462
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,decision_selection,0.0020572450011968613
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,local_trainable_parameters,0.000626618042588234
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,local_loss_forward,0.0012698599603027105
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,local_autograd_grad,0.000981107004918158
toy4,neural_output_average,batched,batched,cpu,256,10,1,0,1,3,toy4_gpu_core_neural_output_average_batched_256_cpu_repeat00,3,neural_policy,output_average,local_adam_update,0.005082161980681121
