toy,device,agent_count,training_backend,stage,repeats,epochs_per_repeat,seconds_per_run_mean,seconds_per_run_std,seconds_per_epoch_mean,seconds_per_epoch_std,share_of_steady_state_pct,share_of_hooked_step_pct
toy4,cpu,1024,tensor_batched,build_observations,3,10.0,0.11155217746272683,0.013753994029028369,0.011155217746272683,0.0013753994029028366,17.06067746074786,17.116279756759614
toy4,cpu,1024,tensor_batched,build_step_context,3,10.0,0.0006195355284338196,9.635633289748552e-05,6.195355284338196e-05,9.635633289748553e-06,0.09460106341659923,0.09490977804245071
toy4,cpu,1024,tensor_batched,cache_refresh,3,10.0,0.00016576466926683983,1.520665364287722e-05,1.6576466926683982e-05,1.5206653642877219e-06,0.025345613065958592,0.0254276755687589
toy4,cpu,1024,tensor_batched,commit_actions,3,10.0,0.00023765497220059237,2.286877597454921e-05,2.3765497220059234e-05,2.2868775974549207e-06,0.03650378133202895,0.036622997878685726
toy4,cpu,1024,tensor_batched,decision_selection,3,10.0,0.07826110868093868,0.002058947359066512,0.007826110868093867,0.00020589473590665121,12.013533566191839,12.052387279900577
toy4,cpu,1024,tensor_batched,finalize_hook_step,3,10.0,0.00032051163725554943,4.799107189299019e-05,3.2051163725554946e-05,4.7991071892990205e-06,0.048826582082244045,0.048982066096676685
toy4,cpu,1024,tensor_batched,hooked_step_total,3,10.0,0.6522656163045516,0.054192310141759764,0.06522656163045516,0.005419231014175977,99.67987163092546,100.0
toy4,cpu,1024,tensor_batched,local_adam_update,3,10.0,0.07795134252713372,0.011583849080462722,0.007795134252713372,0.001158384908046272,11.882643441008137,11.920368738018121
toy4,cpu,1024,tensor_batched,local_autograd_grad,3,10.0,0.051801972246418394,0.004503062889242682,0.00518019722464184,0.00045030628892426806,7.915119733300787,7.940501716272501
toy4,cpu,1024,tensor_batched,local_loss_forward,3,10.0,0.046453640602218606,0.005719114100422647,0.004645364060221861,0.0005719114100422646,7.118668325795414,7.1412078677190385
toy4,cpu,1024,tensor_batched,local_loss_update,3,10.0,0.18185481273879608,0.020478382459660473,0.018185481273879606,0.002047838245966047,27.780242162960864,27.868630184464383
toy4,cpu,1024,tensor_batched,local_optimizer_update,3,10.0,0.13470093552799275,0.016194519443000585,0.013470093552799274,0.001619451944300058,20.556013308911623,20.621528556903815
toy4,cpu,1024,tensor_batched,local_step,3,10.0,0.4898173389956355,0.03766767152592403,0.04898173389956354,0.0037667671525924034,74.8834016547524,75.12444240300923
toy4,cpu,1024,tensor_batched,local_trainable_parameters,3,10.0,0.02795872495820125,0.0037686077385703067,0.0027958724958201246,0.00037686077385703067,4.28771446418238,4.301270759963674
toy4,cpu,1024,tensor_batched,local_training,3,10.0,0.2120113568380475,0.023605122129524075,0.02120113568380475,0.002360512212952407,32.40385235183783,32.506852459524126
toy4,cpu,1024,tensor_batched,mobility_swaps,3,10.0,0.0009337007068097591,9.592592923663333e-05,9.33700706809759e-05,9.59259292366333e-06,0.14288491093614294,0.14334970483511264
toy4,cpu,1024,tensor_batched,policy_readout,3,10.0,0.0554967411638548,0.016921909248982167,0.0055496741163854795,0.0016921909248982165,8.41773516989304,8.445398120085303
toy4,cpu,1024,tensor_batched,post_local_readout,3,10.0,0.010800091394533714,0.002145243083692034,0.0010800091394533712,0.00021452430836920342,1.6646450370844181,1.6698928747027877
toy4,cpu,1024,tensor_batched,post_step_state_policy,3,10.0,0.001545379093537728,4.709405728938902e-05,0.00015453790935377278,4.7094057289389e-06,0.2372594236829234,0.23802724679134624
toy4,cpu,1024,tensor_batched,sample_actions,3,10.0,1.9319122657179832e-05,6.899107792812534e-06,1.9319122657179832e-06,6.899107792812535e-07,0.0029939824529949355,0.003004096511352724
toy4,cpu,1024,tensor_batched,sample_revision_mask,3,10.0,0.002087370647738377,0.00039227070094023886,0.00020873706477383773,3.922707009402389e-05,0.32012836907454506,0.32118565518810227
toy4,cpu,1024,tensor_batched,select_peers,3,10.0,0.0026760875868300595,0.00030950780920549297,0.0002676087586830059,3.0950780920549295e-05,0.4112163955134806,0.4125220882206772
toy4,cpu,1024,tensor_batched,social_adam_update,3,10.0,0.036716118028076984,0.00794818090656746,0.0036716118028076983,0.0007948180906567461,5.574495595420342,5.592149876309236
toy4,cpu,1024,tensor_batched,social_autograd_grad,3,10.0,0.01972731257167955,0.001381009740144688,0.001972731257167955,0.00013810097401446874,3.0274521433388943,3.0372995208213815
toy4,cpu,1024,tensor_batched,social_distillation,3,10.0,0.11801210592966527,0.01776533952333326,0.011801210592966528,0.0017765339523333262,17.976277415563086,18.03353944503739
toy4,cpu,1024,tensor_batched,social_loss_forward,3,10.0,0.012408946407958865,0.0019131354022188629,0.0012408946407958864,0.0001913135402218863,1.906271457639547,1.912289867336037
toy4,cpu,1024,tensor_batched,social_mix,3,10.0,0.021077757274421554,0.005795227589654857,0.0021077757274421552,0.0005795227589654856,3.189014187375531,3.1991178520333734
toy4,cpu,1024,tensor_batched,social_optimizer_update,3,10.0,0.061982115070956446,0.0076880123739519225,0.006198211507095645,0.0007688012373951924,9.452239557834687,9.482480903734666
toy4,cpu,1024,tensor_batched,social_step,3,10.0,0.1184281164702649,0.017793396820533464,0.01184281164702649,0.0017793396820533465,18.039919145365083,18.097385093490605
toy4,cpu,1024,tensor_batched,steady_state_total,3,10.0,0.6543529869522899,0.05422094840784732,0.065435298695229,0.005422094840784729,100.0,100.3211856551881
toy4,cpu,1024,tensor_batched,update_payoff_ema,3,10.0,0.0014329967088997364,1.0514142960025045e-05,0.00014329967088997365,1.0514142960025013e-06,0.22004101928087275,0.22075032681675522
toy4,cpu,1024,tensor_batched,update_reputation_ema,3,10.0,0.0006726329059650501,0.00013971688587953852,6.726329059650501e-05,1.3971688587953854e-05,0.10251318780260173,0.10284899259198214
toy4,cpu,2048,tensor_batched,build_observations,3,10.0,0.24065205338411033,0.005078512278917376,0.02406520533841103,0.0005078512278917372,25.19386138505487,25.241410989499656
toy4,cpu,2048,tensor_batched,build_step_context,3,10.0,0.0005747453154375156,9.671465534154513e-05,5.747453154375155e-05,9.671465534154514e-06,0.06076321743211396,0.06088035102493491
toy4,cpu,2048,tensor_batched,cache_refresh,3,10.0,0.00012150503850231568,2.2817061068781913e-05,1.2150503850231567e-05,2.2817061068781915e-06,0.012572668515445562,0.012595980352771983
toy4,cpu,2048,tensor_batched,commit_actions,3,10.0,0.00022123400898029408,6.835474841708853e-05,2.2123400898029405e-05,6.835474841708854e-06,0.02275989198526347,0.02280183793543274
toy4,cpu,2048,tensor_batched,decision_selection,3,10.0,0.13901105627883226,0.010213980159458779,0.013901105627883227,0.0010213980159458783,14.493727651027285,14.520879571090846
toy4,cpu,2048,tensor_batched,finalize_hook_step,3,10.0,0.00036067375913262367,9.978275900755052e-05,3.606737591326236e-05,9.978275900755052e-06,0.037080194491078376,0.03714806962049765
toy4,cpu,2048,tensor_batched,hooked_step_total,3,10.0,0.9592730563987667,0.0945483084224869,0.09592730563987667,0.009454830842248687,99.81351847290235,100.0
toy4,cpu,2048,tensor_batched,local_adam_update,3,10.0,0.10056101666608204,0.004234371567471014,0.010056101666608204,0.000423437156747102,10.50368621441259,10.523440949177898
toy4,cpu,2048,tensor_batched,local_autograd_grad,3,10.0,0.04352739771517614,0.001262152937514342,0.004352739771517614,0.0001262152937514344,4.565552301031641,4.5742109733440595
toy4,cpu,2048,tensor_batched,local_loss_forward,3,10.0,0.047369354598534606,0.005765894849647768,0.00473693545985346,0.0005765894849647767,4.921382660297372,4.930559963516942
toy4,cpu,2048,tensor_batched,local_loss_update,3,10.0,0.19623530869527409,0.00909182106637879,0.01962353086952741,0.0009091821066378778,20.490384808952466,20.528918224601714
