toy,scenario,training_backend,resolved_training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,make_run_dir,0.0009079099399968982
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,write_metadata,0.003907773992978036
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_state,3.3057097570272163
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,writer_setup,0.004261367954313755
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_step_result,0.03301594499498606
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_aggregate_row,0.14248384104575962
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,write_initial_aggregate,0.000621945015154779
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,sample_revision_mask,0.0001748229842633009
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,build_step_context,7.432210259139538e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,build_observations,0.01087313296739012
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,policy_readout,0.003837901051156223
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,decision_selection,0.007315705996006727
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_trainable_parameters,0.0033216880401596427
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_loss_forward,0.00784354202914983
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_autograd_grad,0.011801932007074356
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_adam_update,0.04606537404470146
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_optimizer_update,0.05966511205770075
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_loss_update,1.0613225079141557
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_training,1.064767963020131
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,cache_refresh,3.765197470784187e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,post_local_readout,0.0016514059389010072
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_step,1.0903638219460845
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,select_peers,0.00018368999008089304
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_trainable_parameters,0.0005635229172185063
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_mix,0.0016118509229272604
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_loss_forward,0.0016234429785981774
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_autograd_grad,0.0016134430188685656
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_adam_update,0.1867643630830571
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_optimizer_update,0.19015474093612283
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_loss_update,0.1941749289399013
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_distillation,0.20567556808236986
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,social_step,0.20581208798103034
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,sample_actions,1.0329065844416618e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,commit_actions,5.8491015806794167e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,post_step_state_policy,0.0002123450394719839
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,update_payoff_ema,0.0004587440053001046
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,update_reputation_ema,0.00013875402510166168
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,mobility_swaps,0.0005743739893659949
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,finalize_hook_step,0.00017800892237573862
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,hooked_step_total,1.3046707520261407
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,aggregate_row,0.04237349203322083
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,write_aggregate,0.001196659984998405
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,sample_revision_mask,0.0004056419711560011
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,build_step_context,0.00013731105718761683
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,build_observations,0.018178510013967752
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,policy_readout,0.007243848987855017
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,decision_selection,0.007454229984432459
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_trainable_parameters,0.003027408034540713
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_loss_forward,0.003954483079724014
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_autograd_grad,0.004075343022122979
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_adam_update,0.08560079801827669
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_optimizer_update,0.09167082200292498
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_loss_update,0.09642799408175051
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_training,0.09964785806369036
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,cache_refresh,4.425493534654379e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,post_local_readout,0.0032231200020760298
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,local_step,0.13866219006013125
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,select_peers,0.00019002205226570368
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_trainable_parameters,0.0007317840354517102
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_mix,0.001359730027616024
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_loss_forward,0.001271611894480884
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_autograd_grad,0.002223916002549231
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_adam_update,0.14590870402753353
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_optimizer_update,0.14934031199663877
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_loss_update,0.15228937903884798
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_distillation,0.1631049830466509
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,social_step,0.16316537791863084
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,sample_actions,7.61495903134346e-06
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,commit_actions,4.582700785249472e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,post_step_state_policy,0.00015804101713001728
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,update_payoff_ema,0.00021140300668776035
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,update_reputation_ema,0.00011700298637151718
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,mobility_swaps,0.00012052000965923071
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,finalize_hook_step,3.1430041417479515e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,hooked_step_total,0.30843090696725994
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,aggregate_row,0.13269817805849016
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,2,neural_policy,output_average,write_aggregate,0.0005393968895077705
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,sample_revision_mask,0.00021139299497008324
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,build_step_context,6.079592276364565e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,build_observations,0.010935422033071518
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,policy_readout,0.003941157949157059
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,decision_selection,0.007085487945005298
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_trainable_parameters,0.0019725270103663206
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_loss_forward,0.0020769070833921432
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_autograd_grad,0.003929184982553124
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_adam_update,0.0586845229845494
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_optimizer_update,0.06374288897495717
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_loss_update,0.06649851892143488
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_training,0.06857812101952732
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,cache_refresh,3.311305772513151e-05
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,post_local_readout,0.008662231033667922
toy4,neural_output_average,batched,batched,cpu,1024,10,1,0,0,3,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,3,neural_policy,output_average,local_step,0.10194236796814948
