toy,device,agent_count,training_backend,stage,repeats,epochs_per_repeat,seconds_per_run_mean,seconds_per_run_std,seconds_per_epoch_mean,seconds_per_epoch_std,share_of_steady_state_pct,share_of_hooked_step_pct
toy4,cpu,1024,batched,build_observations,3,10.0,0.12563423300161958,0.012016843201282778,0.012563423300161957,0.0012016843201282776,4.002205936923366,4.004318385575408
toy4,cpu,1024,batched,build_step_context,3,10.0,0.0004986743830765287,7.138682815454757e-05,4.986743830765288e-05,7.1386828154547576e-06,0.01587186557820944,0.015880494215140897
toy4,cpu,1024,batched,cache_refresh,3,10.0,0.0003836207324638963,7.089607045076976e-05,3.836207324638963e-05,7.089607045076976e-06,0.012239401391789105,0.01224578929134964
toy4,cpu,1024,batched,commit_actions,3,10.0,0.0002736639774714907,1.6149857750568588e-05,2.7366397747149068e-05,1.614985775056859e-06,0.008694014606967436,0.008698635934947812
toy4,cpu,1024,batched,decision_selection,3,10.0,0.07544403496043135,0.005137399093620658,0.007544403496043136,0.000513739909362066,2.408421717148124,2.4096989810304277
toy4,cpu,1024,batched,finalize_hook_step,3,10.0,0.0004140726135422786,6.38477080310945e-05,4.140726135422786e-05,6.384770803109452e-06,0.013020451924951838,0.013027317262498034
toy4,cpu,1024,batched,hooked_step_total,3,10.0,3.176015295088291,0.45994368030572463,0.3176015295088291,0.04599436803057247,99.9470399944048,100.0
toy4,cpu,1024,batched,local_adam_update,3,10.0,0.6017464541752512,0.043057371784644825,0.06017464541752512,0.004305737178464481,19.169827129209903,19.179979973282585
toy4,cpu,1024,batched,local_autograd_grad,3,10.0,0.045432603491159775,0.002466142163255697,0.004543260349115977,0.0002466142163255698,1.4435981231838158,1.44436658206865
toy4,cpu,1024,batched,local_loss_forward,3,10.0,0.03974717568295697,0.0027432072431356255,0.003974717568295697,0.00027432072431356284,1.2643034295133404,1.2649732935065128
toy4,cpu,1024,batched,local_loss_update,3,10.0,1.1532996802125126,0.45749272642239436,0.11532996802125127,0.04574927264223943,35.77533969647728,35.79479875231234
toy4,cpu,1024,batched,local_optimizer_update,3,10.0,0.6633646793585891,0.04786296662537603,0.06633646793585891,0.004786296662537604,21.12487739112891,21.13606397366111
toy4,cpu,1024,batched,local_step,3,10.0,1.5055884344037622,0.4344258844902694,0.1505588434403762,0.04344258844902695,46.98893950752025,47.01427809778131
toy4,cpu,1024,batched,local_trainable_parameters,3,10.0,0.023811432726991672,0.004295869282199215,0.0023811432726991676,0.00042958692821992153,0.7705080274885542,0.7709173613072924
toy4,cpu,1024,batched,local_training,3,10.0,1.1784995283233002,0.45304316713213305,0.11784995283233002,0.04530431671321331,36.590102049113405,36.60999352797959
toy4,cpu,1024,batched,mobility_swaps,3,10.0,0.0013363922480493784,0.0002306604779268859,0.00013363922480493783,2.306604779268859e-05,0.04200376161709485,0.04202575922699205
toy4,cpu,1024,batched,policy_readout,3,10.0,0.052710495345915355,0.005677987715677493,0.005271049534591535,0.000567798771567749,1.6719927303729438,1.6728734119387045
toy4,cpu,1024,batched,post_local_readout,3,10.0,0.045800905441865325,0.018182573854840463,0.004580090544186532,0.0018182573854840466,1.4454457500895892,1.4461737308514817
toy4,cpu,1024,batched,post_step_state_policy,3,10.0,0.0014827006962150335,0.0004483141760992685,0.00014827006962150335,4.4831417609926855e-05,0.04661223106857406,0.046636025748762355
toy4,cpu,1024,batched,sample_actions,3,10.0,5.02890907227993e-05,2.5423406161353636e-06,5.02890907227993e-06,2.542340616135365e-07,0.001599523023969468,0.0016003736003384619
toy4,cpu,1024,batched,sample_revision_mask,3,10.0,0.0016682551940903068,0.0003975943145819647,0.00016682551940903068,3.975943145819647e-05,0.052960005595193864,0.05298908748527958
toy4,cpu,1024,batched,select_peers,3,10.0,0.0028730425595616302,0.0010746669075257756,0.000287304255956163,0.00010746669075257758,0.09083736348969064,0.09088330394618371
toy4,cpu,1024,batched,social_adam_update,3,10.0,1.4341913785707827,0.2284356097246606,0.14341913785707827,0.02284356097246606,45.48694319735515,45.51070644290834
toy4,cpu,1024,batched,social_autograd_grad,3,10.0,0.028438142656038206,0.005851477159851765,0.0028438142656038203,0.0005851477159851766,0.9031959587561644,0.9036648236807875
toy4,cpu,1024,batched,social_distillation,3,10.0,1.6030451288291563,0.27309122349644055,0.1603045128829156,0.02730912234964405,50.82035554339645,50.84685912921555
toy4,cpu,1024,batched,social_loss_forward,3,10.0,0.02565987470249335,0.013587504634178238,0.0025659874702493347,0.0013587504634178236,0.8103680390375759,0.8107684441603203
toy4,cpu,1024,batched,social_loss_update,3,10.0,1.5313819369766861,0.2622192414408528,0.1531381936976686,0.026221924144085283,48.55939256204709,48.58471463911652
toy4,cpu,1024,batched,social_mix,3,10.0,0.02124398205584536,0.009422543092651153,0.002124398205584536,0.0009422543092651154,0.6694908643827477,0.6698255210890577
toy4,cpu,1024,batched,social_optimizer_update,3,10.0,1.4793289512163028,0.23866596533601775,0.1479328951216303,0.023866596533601778,46.916735482098005,46.941237960545784
toy4,cpu,1024,batched,social_step,3,10.0,1.6038194051167618,0.2733417001106652,0.16038194051167617,0.027334170011066528,50.844611154907234,50.87112707234157
toy4,cpu,1024,batched,social_trainable_parameters,3,10.0,0.013983955645623306,0.005262013782552926,0.0013983955645623305,0.0005262013782552927,0.44244692509345224,0.4426706935193277
toy4,cpu,1024,batched,steady_state_total,3,10.0,3.1776835502823815,0.46006356447629626,0.31776835502823814,0.046006356447629654,100.0,100.05298908748529
toy4,cpu,1024,batched,update_payoff_ema,3,10.0,0.001947910951760908,0.00026922653815469253,0.0001947910951760908,2.6922653815469258e-05,0.06180516947093027,0.061837562585066876
toy4,cpu,1024,batched,update_reputation_ema,3,10.0,0.0007914833258837461,0.00019736993664930033,7.914833258837461e-05,1.9736993664930034e-05,0.024857056939760078,0.024869863258903387
toy4,cpu,1024,tensor_batched,build_observations,3,10.0,0.12259721371810883,0.010766943594288208,0.012259721371810884,0.001076694359428821,20.04524208036241,20.10691293353281
toy4,cpu,1024,tensor_batched,build_step_context,3,10.0,0.0004796849486107628,0.00015119728789554656,4.796849486107628e-05,1.5119728789554657e-05,0.07763496788989953,0.07788389764911956
toy4,cpu,1024,tensor_batched,cache_refresh,3,10.0,8.30613619958361e-05,1.2593983464619769e-05,8.30613619958361e-06,1.2593983464619774e-06,0.013654264926083695,0.01369486554320159
toy4,cpu,1024,tensor_batched,commit_actions,3,10.0,0.00015306666803856692,2.8429638161926665e-05,1.530666680385669e-05,2.842963816192667e-06,0.025021955259304157,0.02509733086707795
toy4,cpu,1024,tensor_batched,decision_selection,3,10.0,0.07341061062955608,0.004777924149859771,0.007341061062955608,0.00047779241498597695,12.02927773869793,12.066223886742954
toy4,cpu,1024,tensor_batched,finalize_hook_step,3,10.0,0.0002457777348657449,2.189672164879689e-05,2.4577773486574492e-05,2.189672164879689e-06,0.04027656096607448,0.0403983872547286
toy4,cpu,1024,tensor_batched,hooked_step_total,3,10.0,0.6094613732226813,0.04766823428585355,0.06094613732226814,0.004766823428585352,99.6940725448979,100.0
toy4,cpu,1024,tensor_batched,local_adam_update,3,10.0,0.09852199147765835,0.00704422803190474,0.009852199147765835,0.0007044228031904739,16.22467076376643,16.273284966709088
toy4,cpu,1024,tensor_batched,local_autograd_grad,3,10.0,0.042633561262240015,0.0043403976078920225,0.004263356126224002,0.00043403976078920214,6.965280963445072,6.986693084689211
toy4,cpu,1024,tensor_batched,local_loss_forward,3,10.0,0.03198482922744006,0.007714350599599227,0.0031984829227440057,0.0007714350599599224,5.187620099444587,5.203949165542745
toy4,cpu,1024,tensor_batched,local_loss_update,3,10.0,0.1828229227103293,0.008993547769862956,0.018282292271032927,0.0008993547769862954,29.96014380671939,30.051374431417305
toy4,cpu,1024,tensor_batched,local_optimizer_update,3,10.0,0.15034881439836076,0.005316788217391972,0.015034881439836075,0.0005316788217391978,24.693457649660004,24.768106731593864
toy4,cpu,1024,tensor_batched,local_step,3,10.0,0.4735156470754494,0.04074956613831611,0.047351564707544945,0.0040749566138316125,77.43183777202573,77.6700726748601
toy4,cpu,1024,tensor_batched,local_trainable_parameters,3,10.0,0.023785424535162747,0.009359817577795087,0.0023785424535162744,0.0009359817577795086,3.8346012107466603,3.8470583051036598
toy4,cpu,1024,tensor_batched,local_training,3,10.0,0.21002001874148846,0.01782679606909526,0.021002001874148846,0.0017826796069095264,34.34241806551364,34.44790292357723
toy4,cpu,1024,tensor_batched,mobility_swaps,3,10.0,0.0007315943172822396,0.0001165433917764367,7.315943172822395e-05,1.1654339177643671e-05,0.12075793661205247,0.12111418129245566
toy4,cpu,1024,tensor_batched,policy_readout,3,10.0,0.04598160910730561,0.007112709739073906,0.004598160910730561,0.0007112709739073909,7.498926640951638,7.522316937132691
toy4,cpu,1024,tensor_batched,post_local_readout,3,10.0,0.0068809444007153315,0.0009249424118168684,0.0006880944400715331,9.249424118168684e-05,1.1271164246599652,1.1305100946890123
toy4,cpu,1024,tensor_batched,post_step_state_policy,3,10.0,0.0011294679328178365,4.562086594484479e-05,0.00011294679328178367,4.562086594484477e-06,0.18580065412685995,0.18636052642815817
