toy,scenario,peer_rule,training_backend,resolved_training_backend,device,agent_count,epochs,seed,repeat_index,warmup_runs,repeats,run_id,epoch,policy_rule,coordination_mixer,stage,seconds
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,make_run_dir,0.00022898404859006405
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,write_metadata,0.0024999550078064203
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_state,1.327468873001635
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,writer_setup,0.00039222300983965397
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_step_result,0.005508654052391648
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,initial_aggregate_row,0.02550912997685373
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,0,neural_policy,output_average,write_initial_aggregate,6.692693568766117e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,sample_revision_mask,2.1359883248806e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,build_step_context,1.047900877892971e-05
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,build_observations,0.0003296639770269394
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,policy_readout,0.0007047047838568687
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,decision_selection,0.0008437780197709799
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_trainable_parameters,0.0004948868881911039
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_loss_forward,0.0036698519252240658
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_autograd_grad,0.0024372469633817673
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_adam_update,0.014083677902817726
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_optimizer_update,0.016978259896859527
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_loss_update,0.20765407290309668
toy4,neural_output_average,none,batched,batched,cpu,1024,5,1,0,0,5,toy4_gpu_core_neural_output_average_batched_1024_cpu_repeat00,1,neural_policy,output_average,local_training,0.2081743588205427
