label,strategy_count,initial_distribution,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,payoff_profile,win_payoff,loss_payoff,draw_payoff,seed,epochs,run_dir,domain_final_mean_payoff,domain_final_strategy_entropy,domain_final_dominant_strategy,domain_final_dominant_strategy_fraction,final_fragmentation_components
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.0,baseline,1.0,-1.0,0.0,1,25,experiments/runs/20260511_170236_454543_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0_t0_seed01,0.0,0.9953399877068455,0,0.38,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.0,baseline,1.0,-1.0,0.0,2,25,experiments/runs/20260511_170238_952858_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0_t0_seed02,0.0,0.9909225312502205,2,0.38,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.0,baseline,1.0,-1.0,0.0,3,25,experiments/runs/20260511_170241_463959_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0_t0_seed03,0.0,0.9982774185050798,0,0.36,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.8,baseline,1.0,-1.0,0.0,1,25,experiments/runs/20260511_170243_968947_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0_t0p8_seed01,0.0,0.9953399877068455,0,0.38,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.8,baseline,1.0,-1.0,0.0,2,25,experiments/runs/20260511_170246_455083_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0_t0p8_seed02,0.0,0.9909225312502205,2,0.38,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.0,0.8,baseline,1.0,-1.0,0.0,3,25,experiments/runs/20260511_170248_978642_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0_t0p8_seed03,0.0,0.9982774185050798,0,0.36,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.0,baseline,1.0,-1.0,0.0,1,25,experiments/runs/20260511_170251_471859_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0p5_t0_seed01,0.0,0.983911221681285,0,0.42,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.0,baseline,1.0,-1.0,0.0,2,25,experiments/runs/20260511_170254_016275_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0p5_t0_seed02,0.0,0.9937459149150215,2,0.37,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.0,baseline,1.0,-1.0,0.0,3,25,experiments/runs/20260511_170256_570376_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0p5_t0_seed03,0.0,0.9999092749840701,1,0.34,1
toy6_categorical_sensitivity_seeds01_03,3,balanced,output_average,output_similarity,0.5,0.8,baseline,1.0,-1.0,0.0,1,25,experiments/runs/20260511_170259_074599_toy6_categorical_sensitivity_seeds01_03_k3_balanced_baseline_output_average_output_similarity_a0p5_t0p8_seed01,0.0,0.983911221681285,0,0.42,1
