label,strategy_count,initial_distribution,coordination_mixer,coordination_peer_rule,alpha,seed,epochs,run_dir,domain_final_mean_payoff,domain_final_strategy_entropy,domain_final_dominant_strategy,domain_final_dominant_strategy_fraction,final_fragmentation_components
toy6_categorical_sweep_seeds01_05,3,balanced,none,none,0.0,1,25,experiments/runs/20260511_163952_108736_toy6_categorical_sweep_seeds01_05_k3_balanced_none_none_a0_seed01,0.0,0.9953399877068455,0,0.38,100
toy6_categorical_sweep_seeds01_05,3,balanced,none,none,0.0,2,25,experiments/runs/20260511_163952_202988_toy6_categorical_sweep_seeds01_05_k3_balanced_none_none_a0_seed02,0.0,0.9909225312502205,2,0.38,100
toy6_categorical_sweep_seeds01_05,3,balanced,none,none,0.0,3,25,experiments/runs/20260511_163952_301477_toy6_categorical_sweep_seeds01_05_k3_balanced_none_none_a0_seed03,0.0,0.9982774185050798,0,0.36,100
toy6_categorical_sweep_seeds01_05,3,balanced,none,none,0.0,4,25,experiments/runs/20260511_163952_397865_toy6_categorical_sweep_seeds01_05_k3_balanced_none_none_a0_seed04,0.0,0.9974233736309365,0,0.36,100
toy6_categorical_sweep_seeds01_05,3,balanced,none,none,0.0,5,25,experiments/runs/20260511_163952_490695_toy6_categorical_sweep_seeds01_05_k3_balanced_none_none_a0_seed05,0.0,0.9966426370986273,2,0.37,100
toy6_categorical_sweep_seeds01_05,3,balanced,output_average,output_similarity,0.0,1,25,experiments/runs/20260511_163952_582756_toy6_categorical_sweep_seeds01_05_k3_balanced_output_average_output_similarity_a0_seed01,0.0,0.9953399877068455,0,0.38,1
toy6_categorical_sweep_seeds01_05,3,balanced,output_average,output_similarity,0.0,2,25,experiments/runs/20260511_163955_158765_toy6_categorical_sweep_seeds01_05_k3_balanced_output_average_output_similarity_a0_seed02,0.0,0.9909225312502205,2,0.38,1
toy6_categorical_sweep_seeds01_05,3,balanced,output_average,output_similarity,0.0,3,25,experiments/runs/20260511_163957_732354_toy6_categorical_sweep_seeds01_05_k3_balanced_output_average_output_similarity_a0_seed03,0.0,0.9982774185050798,0,0.36,1
toy6_categorical_sweep_seeds01_05,3,balanced,output_average,output_similarity,0.0,4,25,experiments/runs/20260511_164000_299309_toy6_categorical_sweep_seeds01_05_k3_balanced_output_average_output_similarity_a0_seed04,0.0,0.9974233736309365,0,0.36,1
toy6_categorical_sweep_seeds01_05,3,balanced,output_average,output_similarity,0.0,5,25,experiments/runs/20260511_164002_835642_toy6_categorical_sweep_seeds01_05_k3_balanced_output_average_output_similarity_a0_seed05,0.0,0.9966426370986273,2,0.37,1
