label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,initial_intensity_mean,initial_intensity_std,exploration_std,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_mean_intensity,domain_final_intensity_variance,domain_final_mean_payoff,final_fragmentation_components
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.02,1,50,experiments/runs/20260511_170558_710193_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p02_seed01,0.3056647372299486,30.56647372299486,0.43516103588521793,0.0003385838129677125,0.06666111386151477,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.02,2,50,experiments/runs/20260511_170558_827812_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p02_seed02,0.3048373979558666,30.48373979558666,0.43594736473083495,0.000440543265554546,0.0662753262862599,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.02,3,50,experiments/runs/20260511_170558_943225_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p02_seed03,0.3051133461452473,30.511334614524735,0.43564623291236876,0.0003162328036001216,0.06643435962456612,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.02,4,50,experiments/runs/20260511_170559_066409_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p02_seed04,0.30571766158112296,30.571766158112293,0.43491717269434427,0.0004003888451282524,0.06665447783999405,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.0,0.35,0.05,0.02,5,50,experiments/runs/20260511_170559_182908_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0_i0p05_e0p02_seed05,0.3044506111519674,30.44506111519674,0.43378125650790056,0.0004947589846727491,0.06599940883332922,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.02,1,50,experiments/runs/20260511_170559_298065_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p02_seed01,0.3056647372299486,30.56647372299486,0.43516103588521793,0.0003385838129677125,0.06666111386151477,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.02,2,50,experiments/runs/20260511_170559_417741_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p02_seed02,0.3048373979558666,30.48373979558666,0.43594736473083495,0.000440543265554546,0.0662753262862599,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.02,3,50,experiments/runs/20260511_170559_530623_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p02_seed03,0.3051133461452473,30.511334614524735,0.43564623291236876,0.0003162328036001216,0.06643435962456612,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.02,4,50,experiments/runs/20260511_170559_644522_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p02_seed04,0.30571766158112296,30.571766158112293,0.43491717269434427,0.0004003888451282524,0.06665447783999405,1
toy7_resource_sensitivity_seeds01_05,0.05,0.35,output_average,output_similarity,0.0,0.8,0.35,0.05,0.02,5,50,experiments/runs/20260511_170559_761197_toy7_resource_sensitivity_seeds01_05_r0p05_c0p35_output_average_output_similarity_a0_t0p8_i0p05_e0p02_seed05,0.3044506111519674,30.44506111519674,0.43378125650790056,0.0004947589846727491,0.06599940883332922,1
