label,recovery_rate,extraction_cost,coordination_mixer,coordination_peer_rule,alpha,seed,epochs,run_dir,domain_final_resource_fraction,domain_final_resource_level,domain_final_mean_intensity,domain_final_intensity_variance,domain_final_mean_payoff,final_fragmentation_components
toy7_resource_sweep_seeds01_05,0.02,0.25,none,none,0.0,1,25,experiments/runs/20260511_164140_016251_toy7_resource_sweep_seeds01_05_r0p02_c0p25_none_none_a0_seed01,0.06825303539005687,6.825303539005686,0.173777707327275,0.0005202372083679668,0.0033418975893554333,100
toy7_resource_sweep_seeds01_05,0.02,0.25,none,none,0.0,2,25,experiments/runs/20260511_164140_057782_toy7_resource_sweep_seeds01_05_r0p02_c0p25_none_none_a0_seed02,0.067615454914628,6.761545491462801,0.17695746568909113,0.0004679528046997981,0.0032086335946549314,100
toy7_resource_sweep_seeds01_05,0.02,0.25,none,none,0.0,3,25,experiments/runs/20260511_164140_097906_toy7_resource_sweep_seeds01_05_r0p02_c0p25_none_none_a0_seed03,0.06822458025408114,6.822458025408114,0.17875599576214846,0.0003256756824672759,0.0033349804366062143,100
toy7_resource_sweep_seeds01_05,0.02,0.25,none,none,0.0,4,25,experiments/runs/20260511_164140_139475_toy7_resource_sweep_seeds01_05_r0p02_c0p25_none_none_a0_seed04,0.06762822546211548,6.762822546211549,0.17656234654517022,0.00038029083245111014,0.0032371701321729012,100
toy7_resource_sweep_seeds01_05,0.02,0.25,none,none,0.0,5,25,experiments/runs/20260511_164140_180084_toy7_resource_sweep_seeds01_05_r0p02_c0p25_none_none_a0_seed05,0.06717933553560605,6.717933553560606,0.17551217892839815,0.000474656275312212,0.003144398546617056,100
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.0,1,25,experiments/runs/20260511_164140_219589_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0_seed01,0.06825303539005687,6.825303539005686,0.173777707327275,0.0005202372083679668,0.0033418975893554333,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.0,2,25,experiments/runs/20260511_164140_280805_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0_seed02,0.067615454914628,6.761545491462801,0.17695746568909113,0.0004679528046997981,0.0032086335946549314,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.0,3,25,experiments/runs/20260511_164140_341399_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0_seed03,0.06822458025408114,6.822458025408114,0.17875599576214846,0.0003256756824672759,0.0033349804366062143,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.0,4,25,experiments/runs/20260511_164140_402390_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0_seed04,0.06762822546211548,6.762822546211549,0.17656234654517022,0.00038029083245111014,0.0032371701321729012,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.0,5,25,experiments/runs/20260511_164140_461908_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0_seed05,0.06717933553560605,6.717933553560606,0.17551217892839815,0.000474656275312212,0.003144398546617056,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.25,1,25,experiments/runs/20260511_164140_520900_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p25_seed01,0.06825811523300244,6.825811523300244,0.17375995218778395,0.0005200584722468923,0.0033430076606621676,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.25,2,25,experiments/runs/20260511_164140_600977_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p25_seed02,0.06760679052596243,6.760679052596243,0.1769800129650202,0.0004691282678548556,0.003206526893553167,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.25,3,25,experiments/runs/20260511_164140_681915_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p25_seed03,0.0682284066382228,6.82284066382228,0.17874663585055295,0.00032507182766671107,0.003335932111872019,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.25,4,25,experiments/runs/20260511_164140_762911_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p25_seed04,0.06763064663752437,6.763064663752437,0.1765563793513908,0.00038086544253214323,0.003237527442112762,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.25,5,25,experiments/runs/20260511_164140_845168_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p25_seed05,0.06717410147511839,6.717410147511839,0.1755371164844869,0.0004747742943429818,0.003143158127618631,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.5,1,25,experiments/runs/20260511_164140_926040_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p5_seed01,0.06826049578279707,6.826049578279706,0.17375665698200685,0.0005201285813163097,0.0033434427495639763,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.5,2,25,experiments/runs/20260511_164141_007760_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p5_seed02,0.06760395364966236,6.760395364966236,0.17698125967221695,0.0004690370706503677,0.003206023637330162,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.5,3,25,experiments/runs/20260511_164141_089308_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p5_seed03,0.06823020926448842,6.823020926448842,0.17874650697270664,0.00032508840394428103,0.0033362581714876465,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.5,4,25,experiments/runs/20260511_164141_170482_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p5_seed04,0.06763165617091331,6.763165617091331,0.17655577834664368,0.00038084707936945526,0.0032377204302016173,1
toy7_resource_sweep_seeds01_05,0.02,0.25,output_average,output_similarity,0.5,5,25,experiments/runs/20260511_164141_253162_toy7_resource_sweep_seeds01_05_r0p02_c0p25_output_average_output_similarity_a0p5_seed05,0.06716981009703946,6.716981009703946,0.1755430711985734,0.00047487372833476197,0.003142299228861475,1
toy7_resource_sweep_seeds01_05,0.02,0.35,none,none,0.0,1,25,experiments/runs/20260511_164141_335384_toy7_resource_sweep_seeds01_05_r0p02_c0p35_none_none_a0_seed01,0.11899694519493564,11.899694519493565,0.21766207870936885,0.0005202856081652029,0.009091152693653612,100
toy7_resource_sweep_seeds01_05,0.02,0.35,none,none,0.0,2,25,experiments/runs/20260511_164141_375901_toy7_resource_sweep_seeds01_05_r0p02_c0p35_none_none_a0_seed02,0.11833836100573744,11.833836100573745,0.22096772211108184,0.00046786837823419453,0.00890580987276138,100
toy7_resource_sweep_seeds01_05,0.02,0.35,none,none,0.0,3,25,experiments/runs/20260511_164141_416153_toy7_resource_sweep_seeds01_05_r0p02_c0p35_none_none_a0_seed03,0.11904266391927147,11.904266391927147,0.22251783636921704,0.00032568914678184687,0.00908654754395156,100
toy7_resource_sweep_seeds01_05,0.02,0.35,none,none,0.0,4,25,experiments/runs/20260511_164141_456097_toy7_resource_sweep_seeds01_05_r0p02_c0p35_none_none_a0_seed04,0.118481200677239,11.8481200677239,0.22057697062088713,0.00038032776512410624,0.008975691727954897,100
toy7_resource_sweep_seeds01_05,0.02,0.35,none,none,0.0,5,25,experiments/runs/20260511_164141_495722_toy7_resource_sweep_seeds01_05_r0p02_c0p35_none_none_a0_seed05,0.11823683132137607,11.823683132137607,0.2198262107471789,0.00047468739245368885,0.008901138325103539,100
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.0,1,25,experiments/runs/20260511_164141_535194_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0_seed01,0.11899694519493564,11.899694519493565,0.21766207870936885,0.0005202856081652029,0.009091152693653612,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.0,2,25,experiments/runs/20260511_164141_595469_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0_seed02,0.11833836100573744,11.833836100573745,0.22096772211108184,0.00046786837823419453,0.00890580987276138,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.0,3,25,experiments/runs/20260511_164141_655340_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0_seed03,0.11904266391927147,11.904266391927147,0.22251783636921704,0.00032568914678184687,0.00908654754395156,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.0,4,25,experiments/runs/20260511_164141_715672_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0_seed04,0.118481200677239,11.8481200677239,0.22057697062088713,0.00038032776512410624,0.008975691727954897,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.0,5,25,experiments/runs/20260511_164141_774256_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0_seed05,0.11823683132137607,11.823683132137607,0.2198262107471789,0.00047468739245368885,0.008901138325103539,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.25,1,25,experiments/runs/20260511_164141_835139_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p25_seed01,0.11899404794098571,11.89940479409857,0.21763938898690988,0.0005200889444383973,0.009090936675840834,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.25,2,25,experiments/runs/20260511_164141_917141_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p25_seed02,0.11834041139445448,11.834041139445448,0.2209973830990102,0.0004691099899604863,0.008905295966295378,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.25,3,25,experiments/runs/20260511_164141_998657_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p25_seed03,0.11904194761350163,11.904194761350164,0.2225052981565885,0.0003250693698138175,0.009086832104863671,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.25,4,25,experiments/runs/20260511_164142_080288_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p25_seed04,0.11848077605010877,11.848077605010877,0.22056906390510783,0.00038088180149132536,0.00897554375993874,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.25,5,25,experiments/runs/20260511_164142_161912_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p25_seed05,0.11824232095211952,11.824232095211952,0.21985710269304648,0.0004748130167741102,0.008901777436341947,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.5,1,25,experiments/runs/20260511_164142_242934_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p5_seed01,0.11899474974564823,11.899474974564823,0.2176350834672284,0.0005201496397363787,0.00909113931031618,1
toy7_resource_sweep_seeds01_05,0.02,0.35,output_average,output_similarity,0.5,2,25,experiments/runs/20260511_164142_325573_toy7_resource_sweep_seeds01_05_r0p02_c0p35_output_average_output_similarity_a0p5_seed02,0.1183386657968875,11.833866579688749,0.22099922718244477,0.00046903457326038616,0.008904895021866312,1
