label,initial_active_fraction,initial_failed_fraction,base_activation_rate,peer_activation_rate,failure_rate,overload_failure_rate,recovery_rate,max_time,graph_k,graph_rewire_probability,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seed,epochs,run_dir,domain_final_time,domain_final_inactive_fraction,domain_final_active_fraction,domain_final_failed_fraction,domain_total_events,domain_activation_events,domain_failure_events,domain_recovery_events,domain_absorbed,final_fragmentation_components
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_194816_756129_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0_t0_seed01,6.041855330697253,0.69,0.27,0.04,25,21,4,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_194816_848905_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0_t0_seed02,4.354641315809151,0.71,0.23,0.06,25,19,6,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_194816_939474_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0_t0_seed03,5.043438650985137,0.74,0.17,0.09,25,16,9,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,4,25,experiments/runs/20260511_194817_030394_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0_t0_seed04,5.1526950342591125,0.7,0.25,0.05,25,20,5,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.0,0.0,5,25,experiments/runs/20260511_194817_121742_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0_t0_seed05,4.328632808357971,0.68,0.29,0.03,25,22,3,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_194817_218789_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0p25_t0_seed01,6.154519357694488,0.69,0.27,0.04,25,21,4,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_194817_355782_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0p25_t0_seed02,4.525438205887436,0.71,0.23,0.06,25,19,6,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_194817_494299_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0p25_t0_seed03,5.04630871132031,0.73,0.19,0.08,25,17,8,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,4,25,experiments/runs/20260511_194817_632410_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0p25_t0_seed04,5.388763761864234,0.71,0.23,0.06,25,19,6,0,False,1
toy8_async_sensitivity_seeds01_05,0.1,0.0,0.02,0.15,0.03,0.04,0.01,50.0,4,0.1,output_average,output_similarity,0.25,0.0,5,25,experiments/runs/20260511_194817_772800_toy8_async_sensitivity_seeds01_05_ia0p1_if0_ba0p02_pa0p15_fr0p03_of0p04_rr0p01_k4_rw0p1_output_average_output_similarity_a0p25_t0_seed05,4.4942358677637575,0.68,0.29,0.03,25,22,3,0,False,1
