label,threshold_group_fraction,coordination_gate_mode,environment_threshold,benefit,action_cost,payoff_learning_rate,coordination_mixer,coordination_peer_rule,alpha,coordination_threshold,seed,epochs,run_dir,domain_final_action_rate,domain_final_mean_action_probability,domain_final_mean_payoff,domain_final_payoff_variance,domain_final_group_action_rate_gap,domain_final_coordination_enabled_action_rate,domain_final_coordination_disabled_action_rate,final_fragmentation_components
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,1,25,experiments/runs/20260511_190312_536285_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0_t0_seed01,0.42,0.4511604647068425,0.27375357142857143,0.04851089667091836,0.1866666666666667,0.56,0.37333333333333335,15
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,2,25,experiments/runs/20260511_190312_604606_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0_t0_seed02,0.53,0.4931333632947555,0.28145,0.05421743321428571,0.2533333333333333,0.72,0.4666666666666667,18
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,3,25,experiments/runs/20260511_190312_672313_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0_t0_seed03,0.48,0.534614027918088,0.30689999999999995,0.05449775734693877,0.31999999999999995,0.72,0.4,16
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,4,25,experiments/runs/20260511_190312_741492_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0_t0_seed04,0.36,0.3643195438641301,0.18667499999999998,0.023158537487244897,0.053333333333333344,0.4,0.3466666666666667,10
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.0,0.0,5,25,experiments/runs/20260511_190312_810351_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0_t0_seed05,0.45,0.49191929660787914,0.27288214285714285,0.0543506282015306,0.36,0.72,0.36,14
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,1,25,experiments/runs/20260511_190312_878697_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0p25_t0_seed01,0.33,0.3896227050760362,0.2324785714285715,0.030240900051020404,0.013333333333333308,0.32,0.3333333333333333,15
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,2,25,experiments/runs/20260511_190312_953504_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0p25_t0_seed02,0.49,0.47431219722170875,0.2469357142857143,0.0367232275,0.25333333333333335,0.68,0.4266666666666667,18
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,3,25,experiments/runs/20260511_190313_030419_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0p25_t0_seed03,0.44,0.5087451967036605,0.2685392857142857,0.04327923493622448,0.16000000000000003,0.56,0.4,16
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,4,25,experiments/runs/20260511_190313_105948_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0p25_t0_seed04,0.32,0.3107720134146671,0.16456428571428566,0.01745696831632653,0.053333333333333344,0.36,0.30666666666666664,10
toy9_heterogeneous_sensitivity_seeds01_05,0.25,gated,0.35,1.2,0.25,0.18,output_average,output_similarity,0.25,0.0,5,25,experiments/runs/20260511_190313_182004_toy9_heterogeneous_sensitivity_seeds01_05_f0p25_gated_th0p35_b1p2_c0p25_lr0p18_output_average_output_similarity_a0p25_t0_seed05,0.41,0.4526588388624193,0.21145,0.040222463826530615,0.36000000000000004,0.68,0.32,14
